matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw
01058X,0.7132615176121768,-0.027344406497003645,Sido,Bruno,UMP,Les Républicains,Haute-Marne,32,https://www.senat.fr/senateur/sido_bruno01058x.html,https://www.senat.fr/senimg/sido_bruno01058x_carre.jpg,Bruno Sido,0.7132615176121768,-0.04848299024291427
04008A,0.773398067211289,-0.05076251159640816,Daubresse,Marc-Philippe,UMP,Les Républicains,Nord,10,https://www.senat.fr/senateur/daubresse_marc_philippe04008a.html,https://www.senat.fr/senimg/daubresse_marc_philippe04008a_carre.jpg,Marc-Philippe Daubresse,0.773398067211289,-0.09000445318512086
04033B,0.6687554161855126,0.007229274186547829,Retailleau,Bruno,UMP,Les Républicains,Vendée,29,https://www.senat.fr/senateur/retailleau_bruno04033b.html,https://www.senat.fr/senimg/retailleau_bruno04033b_carre.jpg,Bruno Retailleau,0.6687554161855126,0.012817862032886223
04042C,0.6804410965921812,-0.014071276940060119,Cambon,Christian,UMP,Les Républicains,Val-de-Marne,60,https://www.senat.fr/senateur/cambon_christian04042c.html,https://www.senat.fr/senimg/cambon_christian04042c_carre.jpg,Christian Cambon,0.6804410965921812,-0.02494907258875908
04045F,-0.3432200274041694,0.48899366326871674,Schillinger,Patricia,LREM,RDPI,Haut-Rhin,47,https://www.senat.fr/senateur/schillinger_patricia04045f.html,https://www.senat.fr/senimg/schillinger_patricia04045f_carre.jpg,Patricia Schillinger,-0.3432200274041694,0.8670100412565901
04047H,0.6434740789376772,-0.012402036794785007,Buffet,François-Noël,UMP,Les Républicains,Rhône,97,https://www.senat.fr/senateur/buffet_francois_noel04047h.html,https://www.senat.fr/senimg/buffet_francois_noel04047h_carre.jpg,François-Noël Buffet,0.6434740789376772,-0.02198942694110817
04070G,0.28701376800987866,0.0758031401695415,Morin-Desailly,Catherine,UC,UC,Seine-Maritime,54,https://www.senat.fr/senateur/morin_desailly_catherine04070g.html,https://www.senat.fr/senimg/morin_desailly_catherine04070g_carre.jpg,Catherine Morin-Desailly,0.28701376800987866,0.13440273079705942
04092N,0.46914649752792287,0.002477284255031058,Milon,Alain,UMP,Les Républicains,Vaucluse,58,https://www.senat.fr/senateur/milon_alain04092n.html,https://www.senat.fr/senimg/milon_alain04092n_carre.jpg,Alain Milon,0.46914649752792287,0.004392347969913224
05012A,0.7088046543615032,-0.049010331573387036,Pointereau,Rémy,UMP,Les Républicains,Cher,130,https://www.senat.fr/senateur/pointereau_remy05012a.html,https://www.senat.fr/senimg/pointereau_remy05012a_carre.jpg,Rémy Pointereau,0.7088046543615032,-0.0868977510166437
07004J,0.1816165423308334,0.08603022034113385,Goulet,Nathalie,UC,UC,Orne,162,https://www.senat.fr/senateur/goulet_nathalie07004j.html,https://www.senat.fr/senimg/goulet_nathalie07004j_carre.jpg,Nathalie Goulet,0.1816165423308334,0.15253585166867706
07029T,0.45802592547097437,0.007801649408672249,Laménie,Marc,RTLI,Les Indépendants,Ardennes,156,https://www.senat.fr/senateur/lamenie_marc07029t.html,https://www.senat.fr/senimg/lamenie_marc07029t_carre.jpg,Marc Laménie,0.45802592547097437,0.013832711717503988
07033P,0.6514236478008205,-0.007185469917713925,Dumas,Catherine,UMP,Les Républicains,Paris,220,https://www.senat.fr/senateur/dumas_catherine07033p.html,https://www.senat.fr/senimg/dumas_catherine07033p_carre.jpg,Catherine Dumas,0.6514236478008205,-0.012740194889563697
08009T,0.3111630208393623,0.06828683503353633,Maurey,Hervé,UC,UC,Eure,121,https://www.senat.fr/senateur/maurey_herve08009t.html,https://www.senat.fr/senimg/maurey_herve08009t_carre.jpg,Hervé Maurey,0.3111630208393623,0.12107594864102186
08010L,0.6390303382760615,-0.03181354288917275,Lefèvre,Antoine,UMP,Les Républicains,Aisne,30,https://www.senat.fr/senateur/lefevre_antoine08010l.html,https://www.senat.fr/senimg/lefevre_antoine08010l_carre.jpg,Antoine Lefèvre,0.6390303382760615,-0.056406990938249565
08011M,0.7228966272145282,-0.02982324634462035,de Montgolfier,Albéric,UMP,Les Républicains,Eure-et-Loir,35,https://www.senat.fr/senateur/de_montgolfier_alberic08011m.html,https://www.senat.fr/senimg/de_montgolfier_alberic08011m_carre.jpg,Albéric de Montgolfier,0.7228966272145282,-0.05287809635570985
08012N,-0.8050951976005918,0.07124293033571284,Lozach,Jean-Jacques,SOC,SER,Creuse,145,https://www.senat.fr/senateur/lozach_jean_jacques08012n.html,https://www.senat.fr/senimg/lozach_jean_jacques08012n_carre.jpg,Jean-Jacques Lozach,-0.8050951976005918,0.1263172523682852
08015R,0.7233405116651787,-0.06121362655607039,Laurent,Daniel,UMP,Les Républicains,Charente-Maritime,337,https://www.senat.fr/senateur/laurent_daniel08015r.html,https://www.senat.fr/senimg/laurent_daniel08015r_carre.jpg,Daniel Laurent,0.7233405116651787,-0.10853479885828085
08018U,0.6165029233706513,-0.025740479869748756,Frassa,Christophe-André,UMP,Les Républicains,Français établis hors de France (Série 2),341,https://www.senat.fr/senateur/frassa_christophe_andre08018u.html,https://www.senat.fr/senimg/frassa_christophe_andre08018u_carre.jpg,Christophe-André Frassa,0.6165029233706513,-0.0456391487052283
08028W,0.6659937080609671,-0.01831224358740268,Chatillon,Alain,UMP,Les Républicains,Haute-Garonne,94,https://www.senat.fr/senateur/chatillon_alain08028w.html,https://www.senat.fr/senimg/chatillon_alain08028w_carre.jpg,Alain Chatillon,0.6659937080609671,-0.032468516998940926
08034U,0.7785322263027067,-0.07700836516748594,de Legge,Dominique,UMP,Les Républicains,Ille-et-Vilaine,56,https://www.senat.fr/senateur/de_legge_dominique08034u.html,https://www.senat.fr/senimg/de_legge_dominique08034u_carre.jpg,Dominique de Legge,0.7785322263027067,-0.13653965455228004
08045X,-0.9423856117591084,0.07202613628130268,Fichet,Jean-Luc,SOC,SER,Finistère,242,https://www.senat.fr/senateur/fichet_jean_luc08045x.html,https://www.senat.fr/senimg/fichet_jean_luc08045x_carre.jpg,Jean-Luc Fichet,-0.9423856117591084,0.12770591539238066
08047A,0.6801399530720535,-0.015260857149708889,Paul,Philippe,UMP,Les Républicains,Finistère,224,https://www.senat.fr/senateur/paul_philippe08047a.html,https://www.senat.fr/senimg/paul_philippe08047a_carre.jpg,Philippe Paul,0.6801399530720535,-0.027058257357639875
08056B,0.3862413506710176,0.022824872258311302,Goy-Chavent,Sylvie,UMP,Les Républicains,Ain,330,https://www.senat.fr/senateur/goy_chavent_sylvie08056b.html,https://www.senat.fr/senimg/goy_chavent_sylvie08056b_carre.jpg,Sylvie Goy-Chavent,0.3862413506710176,0.040469631663672526
08060W,-0.8777726275701148,0.07447602817600833,Bonnefoy,Nicole,SOC,SER,Charente,41,https://www.senat.fr/senateur/bonnefoy_nicole08060w.html,https://www.senat.fr/senimg/bonnefoy_nicole08060w_carre.jpg,Nicole Bonnefoy,-0.8777726275701148,0.13204969534753253
08061X,-0.33163973967799903,0.4802897601959136,Patriat,François,LREM,RDPI,Côte-d'Or,1,https://www.senat.fr/senateur/patriat_francois08061x.html,https://www.senat.fr/senimg/patriat_francois08061x_carre.jpg,François Patriat,-0.33163973967799903,0.8515775889998468
08069G,0.5916884292073021,-0.044826054944358415,Houpert,Alain,UMP,Les Républicains,Côte-d'Or,61,https://www.senat.fr/senateur/houpert_alain08069g.html,https://www.senat.fr/senimg/houpert_alain08069g_carre.jpg,Alain Houpert,0.5916884292073021,-0.07947882082333053
08073C,-0.3333257994327727,0.44954246668967807,Patient,Georges,LREM,RDPI,Guyane,46,https://www.senat.fr/senateur/patient_georges08073c.html,https://www.senat.fr/senimg/patient_georges08073c_carre.jpg,Georges Patient,-0.3333257994327727,0.7970611111519116
11027H,-0.8793856614897745,0.044412814062158225,Conway-Mouret,Hélène,SOC,SER,Français établis hors de France (Série 1),151,https://www.senat.fr/senateur/conway_mouret_helene11027h.html,https://www.senat.fr/senimg/conway_mouret_helene11027h_carre.jpg,Hélène Conway-Mouret,-0.8793856614897745,0.07874612422368481
11043H,0.6888651268997777,-0.026162597332704412,Savin,Michel,UMP,Les Républicains,Isère,96,https://www.senat.fr/senateur/savin_michel11043h.html,https://www.senat.fr/senimg/savin_michel11043h_carre.jpg,Michel Savin,0.6888651268997777,-0.046387583923234776
11045K,-0.8911418467331865,0.05891888874981245,Rossignol,Laurence,SOC,SER,Val-de-Marne,76,https://www.senat.fr/senateur/rossignol_laurence11045k.html,https://www.senat.fr/senimg/rossignol_laurence11045k_carre.jpg,Laurence Rossignol,-0.8911418467331865,0.10446611480463201
