matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw,group_members,rank_left_to_right,percentile_left_to_right,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,distance_to_samantha_1d,ideal_rank_left_to_right,rank_abstention_in_group,rank_most_loyal_in_group
01058X,0.7132615176121768,-0.027344406497003645,Sido,Bruno,UMP,Les Républicains,Haute-Marne,32,https://www.senat.fr/senateur/sido_bruno01058x.html,https://www.senat.fr/senimg/sido_bruno01058x_carre.jpg,Bruno Sido,0.7132615176121768,-0.04848299024291427,131,101,0.7692307692307693,0.6571054778305727,-0.024202517789836234,0.05624386427514853,proche,TRUE,FALSE,4752,2133,2496,58,65,0.012205387205387205,0.013678451178451179,0.9741161616161617,4627,4616,11,0.9976226496650097,0.9853001014146361,318,75,8
04008A,0.773398067211289,-0.05076251159640816,Daubresse,Marc-Philippe,UMP,Les Républicains,Nord,10,https://www.senat.fr/senateur/daubresse_marc_philippe04008a.html,https://www.senat.fr/senimg/daubresse_marc_philippe04008a_carre.jpg,Marc-Philippe Daubresse,0.773398067211289,-0.09000445318512086,131,119,0.9076923076923077,0.6571054778305727,-0.024202517789836234,0.11928704714208088,intermédiaire,FALSE,FALSE,2117,948,1127,37,5,0.01747756258856873,0.0023618327822390174,0.9801606046291923,2075,2068,7,0.9966265060240964,1.0454366510137483,336,114,11
04033B,0.6687554161855126,0.007229274186547829,Retailleau,Bruno,UMP,Les Républicains,Vendée,29,https://www.senat.fr/senateur/retailleau_bruno04033b.html,https://www.senat.fr/senimg/retailleau_bruno04033b_carre.jpg,Bruno Retailleau,0.6687554161855126,0.012817862032886223,131,68,0.5153846153846153,0.6571054778305727,-0.024202517789836234,0.03352131576356425,proche,TRUE,FALSE,4379,1895,2241,82,161,0.018725736469513588,0.036766385019410826,0.9445078785110755,4134,4082,52,0.9874213836477987,0.9407939999879718,285,119,86
04042C,0.6804410965921812,-0.014071276940060119,Cambon,Christian,UMP,Les Républicains,Val-de-Marne,60,https://www.senat.fr/senateur/cambon_christian04042c.html,https://www.senat.fr/senimg/cambon_christian04042c_carre.jpg,Christian Cambon,0.6804410965921812,-0.02494907258875908,131,75,0.5692307692307692,0.6571054778305727,-0.024202517789836234,0.02543999104055084,proche,TRUE,FALSE,4752,2130,2486,62,74,0.013047138047138047,0.015572390572390573,0.9713804713804713,4614,4601,13,0.9971824880797573,0.9524796803946405,292,81,10
04045F,-0.3432200274041694,0.48899366326871674,Schillinger,Patricia,LREM,RDPI,Haut-Rhin,47,https://www.senat.fr/senateur/schillinger_patricia04045f.html,https://www.senat.fr/senimg/schillinger_patricia04045f_carre.jpg,Patricia Schillinger,-0.3432200274041694,0.8670100412565901,19,1,0,-0.2287700594907271,0.4329764633827035,0.12742339596187796,intermédiaire,FALSE,FALSE,4752,2130,2231,337,54,0.07091750841750842,0.011363636363636364,0.9177188552188552,4350,4336,14,0.9967816091954023,0.07118144360171019,114,4,4
04047H,0.6434740789376772,-0.012402036794785007,Buffet,François-Noël,UMP,Les Républicains,Rhône,97,https://www.senat.fr/senateur/buffet_francois_noel04047h.html,https://www.senat.fr/senimg/buffet_francois_noel04047h_carre.jpg,François-Noël Buffet,0.6434740789376772,-0.02198942694110817,131,56,0.4230769230769231,0.6571054778305727,-0.024202517789836234,0.018029597541037883,proche,TRUE,FALSE,4382,1942,2301,54,85,0.012323140118667275,0.019397535371976266,0.9682793245093565,4241,4218,23,0.9945767507663287,0.9155126627401364,273,77,21
04070G,0.28701376800987866,0.0758031401695415,Morin-Desailly,Catherine,UC,UC,Seine-Maritime,54,https://www.senat.fr/senateur/morin_desailly_catherine04070g.html,https://www.senat.fr/senimg/morin_desailly_catherine04070g_carre.jpg,Catherine Morin-Desailly,0.28701376800987866,0.13440273079705942,59,56,0.9482758620689655,0.19600620103114486,0.09263700079581998,0.0925513701193758,proche,TRUE,FALSE,4752,2114,2206,217,215,0.045664983164983165,0.045244107744107746,0.9090909090909091,4290,4213,77,0.982051282051282,0.5590523518123378,211,51,12
04092N,0.46914649752792287,0.002477284255031058,Milon,Alain,UMP,Les Républicains,Vaucluse,58,https://www.senat.fr/senateur/milon_alain04092n.html,https://www.senat.fr/senimg/milon_alain04092n_carre.jpg,Alain Milon,0.46914649752792287,0.004392347969913224,131,5,0.03076923076923077,0.6571054778305727,-0.024202517789836234,0.18984306706742077,intermédiaire,FALSE,FALSE,4752,2091,2493,95,73,0.01999158249158249,0.015361952861952861,0.9646464646464646,4582,4485,97,0.9788302051505893,0.7411850813303821,222,125,119
05012A,0.7088046543615032,-0.049010331573387036,Pointereau,Rémy,UMP,Les Républicains,Cher,130,https://www.senat.fr/senateur/pointereau_remy05012a.html,https://www.senat.fr/senimg/pointereau_remy05012a_carre.jpg,Rémy Pointereau,0.7088046543615032,-0.0868977510166437,131,95,0.7230769230769231,0.6571054778305727,-0.024202517789836234,0.057343111867910045,proche,TRUE,FALSE,4752,2124,2476,80,72,0.016835016835016835,0.015151515151515152,0.968013468013468,4598,4566,32,0.9930404523705959,0.9808432381639625,312,110,34
07004J,0.1816165423308334,0.08603022034113385,Goulet,Nathalie,UC,UC,Orne,162,https://www.senat.fr/senateur/goulet_nathalie07004j.html,https://www.senat.fr/senimg/goulet_nathalie07004j_carre.jpg,Nathalie Goulet,0.1816165423308334,0.15253585166867706,59,18,0.29310344827586204,0.19600620103114486,0.09263700079581998,0.015833882198875663,proche,TRUE,FALSE,4642,1893,1855,340,554,0.07324429125376992,0.11934510986643689,0.8074105988797932,3710,3530,180,0.9514824797843666,0.4536551261332926,171,58,48
07029T,0.45802592547097437,0.007801649408672249,Laménie,Marc,RTLI,Les Indépendants,Ardennes,156,https://www.senat.fr/senateur/lamenie_marc07029t.html,https://www.senat.fr/senimg/lamenie_marc07029t_carre.jpg,Marc Laménie,0.45802592547097437,0.013832711717503988,20,20,1,0.1570127359444524,0.11715489670009958,0.32026094510900005,éloigné,FALSE,TRUE,4624,2072,2315,168,69,0.03633217993079585,0.014922145328719723,0.9487456747404844,4348,4184,164,0.9622815087396505,0.7300645092734336,221,2,18
07033P,0.6514236478008205,-0.007185469917713925,Dumas,Catherine,UMP,Les Républicains,Paris,220,https://www.senat.fr/senateur/dumas_catherine07033p.html,https://www.senat.fr/senimg/dumas_catherine07033p_carre.jpg,Catherine Dumas,0.6514236478008205,-0.012740194889563697,131,61,0.46153846153846156,0.6571054778305727,-0.024202517789836234,0.017940543770161937,proche,TRUE,FALSE,3003,1315,1663,19,6,0.006327006327006327,0.001998001998001998,0.9916749916749916,2976,2945,31,0.9895833333333334,0.9234622316032797,278,20,65
08009T,0.3111630208393623,0.06828683503353633,Maurey,Hervé,UC,UC,Eure,121,https://www.senat.fr/senateur/maurey_herve08009t.html,https://www.senat.fr/senimg/maurey_herve08009t_carre.jpg,Hervé Maurey,0.3111630208393623,0.12107594864102186,59,58,0.9827586206896551,0.19600620103114486,0.09263700079581998,0.11770311687034017,intermédiaire,FALSE,FALSE,4475,2039,2071,158,207,0.0353072625698324,0.04625698324022346,0.9184357541899442,4098,4027,71,0.9826744753538311,0.5832016046418216,214,34,9
08010L,0.6390303382760615,-0.03181354288917275,Lefèvre,Antoine,UMP,Les Républicains,Aisne,30,https://www.senat.fr/senateur/lefevre_antoine08010l.html,https://www.senat.fr/senimg/lefevre_antoine08010l_carre.jpg,Antoine Lefèvre,0.6390303382760615,-0.056406990938249565,131,53,0.4,0.6571054778305727,-0.024202517789836234,0.019612199595603418,proche,TRUE,FALSE,4475,1992,2324,94,65,0.02100558659217877,0.01452513966480447,0.9644692737430167,4314,4279,35,0.9918868799258229,0.9110689220785206,270,127,52
08011M,0.7228966272145282,-0.02982324634462035,de Montgolfier,Albéric,UMP,Les Républicains,Eure-et-Loir,35,https://www.senat.fr/senateur/de_montgolfier_alberic08011m.html,https://www.senat.fr/senimg/de_montgolfier_alberic08011m_carre.jpg,Albéric de Montgolfier,0.7228966272145282,-0.05287809635570985,131,106,0.8076923076923077,0.6571054778305727,-0.024202517789836234,0.06603081043534534,proche,TRUE,FALSE,4475,2009,2315,72,79,0.016089385474860336,0.0176536312849162,0.9662569832402235,4322,4300,22,0.994909763998149,0.9949352110169873,323,106,20
08012N,-0.8050951976005918,0.07124293033571284,Lozach,Jean-Jacques,SOC,SER,Creuse,145,https://www.senat.fr/senateur/lozach_jean_jacques08012n.html,https://www.senat.fr/senimg/lozach_jean_jacques08012n_carre.jpg,Jean-Jacques Lozach,-0.8050951976005918,0.1263172523682852,65,36,0.546875,-0.8152406676847206,0.050540205999973865,0.023055007225102998,proche,TRUE,FALSE,4475,2230,1732,431,82,0.09631284916201117,0.018324022346368714,0.8853631284916201,3962,3958,4,0.9989904088844018,0.5330566137981325,36,5,8
08015R,0.7233405116651787,-0.06121362655607039,Laurent,Daniel,UMP,Les Républicains,Charente-Maritime,337,https://www.senat.fr/senateur/laurent_daniel08015r.html,https://www.senat.fr/senimg/laurent_daniel08015r_carre.jpg,Daniel Laurent,0.7233405116651787,-0.10853479885828085,131,107,0.8153846153846154,0.6571054778305727,-0.024202517789836234,0.0758742504356874,proche,TRUE,FALSE,4475,2013,2326,68,68,0.015195530726256984,0.015195530726256984,0.9696089385474861,4337,4284,53,0.987779571132119,0.9953790954676378,324,101.5,81
08018U,0.6165029233706513,-0.025740479869748756,Frassa,Christophe-André,UMP,Les Républicains,Français établis hors de France (Série 2),341,https://www.senat.fr/senateur/frassa_christophe_andre08018u.html,https://www.senat.fr/senimg/frassa_christophe_andre08018u_carre.jpg,Christophe-André Frassa,0.6165029233706513,-0.0456391487052283,131,35,0.26153846153846155,0.6571054778305727,-0.024202517789836234,0.04063167183405251,proche,TRUE,FALSE,4475,2007,2329,74,65,0.016536312849162012,0.01452513966480447,0.9689385474860335,4334,4297,37,0.9914628518689432,0.8885415071731104,252,108,54
08028W,0.6659937080609671,-0.01831224358740268,Chatillon,Alain,UMP,Les Républicains,Haute-Garonne,94,https://www.senat.fr/senateur/chatillon_alain08028w.html,https://www.senat.fr/senimg/chatillon_alain08028w_carre.jpg,Alain Chatillon,0.6659937080609671,-0.032468516998940926,131,64,0.4846153846153846,0.6571054778305727,-0.024202517789836234,0.010662831087865527,proche,TRUE,FALSE,4475,2011,2326,68,70,0.015195530726256984,0.01564245810055866,0.9691620111731843,4334,4302,32,0.9926165205353022,0.9380322918634263,281,101.5,42
08034U,0.7785322263027067,-0.07700836516748594,de Legge,Dominique,UMP,Les Républicains,Ille-et-Vilaine,56,https://www.senat.fr/senateur/de_legge_dominique08034u.html,https://www.senat.fr/senimg/de_legge_dominique08034u_carre.jpg,Dominique de Legge,0.7785322263027067,-0.13653965455228004,131,123,0.9384615384615385,0.6571054778305727,-0.024202517789836234,0.13241190566480993,intermédiaire,FALSE,FALSE,4475,2033,2312,64,66,0.014301675977653631,0.014748603351955308,0.9709497206703911,4343,4296,47,0.9891779875661985,1.0505708101051658,340,92,72
08045X,-0.9423856117591084,0.07202613628130268,Fichet,Jean-Luc,SOC,SER,Finistère,242,https://www.senat.fr/senateur/fichet_jean_luc08045x.html,https://www.senat.fr/senimg/fichet_jean_luc08045x_carre.jpg,Jean-Luc Fichet,-0.9423856117591084,0.12770591539238066,65,2,0.015625,-0.8152406676847206,0.050540205999973865,0.1289475940207235,intermédiaire,FALSE,FALSE,3620,1862,1332,340,86,0.09392265193370165,0.023756906077348067,0.8823204419889503,3194,3191,3,0.9990607388854101,0.6703470279566492,2,3,7
08047A,0.6801399530720535,-0.015260857149708889,Paul,Philippe,UMP,Les Républicains,Finistère,224,https://www.senat.fr/senateur/paul_philippe08047a.html,https://www.senat.fr/senimg/paul_philippe08047a_carre.jpg,Philippe Paul,0.6801399530720535,-0.027058257357639875,131,74,0.5615384615384615,0.6571054778305727,-0.024202517789836234,0.02470911460683276,proche,TRUE,FALSE,4475,1998,2325,78,74,0.01743016759776536,0.016536312849162012,0.9660335195530726,4321,4313,8,0.9981485767183522,0.9521785368745128,291,113,6
08056B,0.3862413506710176,0.022824872258311302,Goy-Chavent,Sylvie,UMP,Les Républicains,Ain,330,https://www.senat.fr/senateur/goy_chavent_sylvie08056b.html,https://www.senat.fr/senimg/goy_chavent_sylvie08056b_carre.jpg,Sylvie Goy-Chavent,0.3862413506710176,0.040469631663672526,131,1,0,0.6571054778305727,-0.024202517789836234,0.2749162614263628,éloigné,FALSE,TRUE,4475,1930,2136,123,286,0.027486033519553074,0.06391061452513966,0.9086033519553073,4061,3849,212,0.9477961093326767,0.6582799344734769,215,131,131
08060W,-0.8777726275701148,0.07447602817600833,Bonnefoy,Nicole,SOC,SER,Charente,41,https://www.senat.fr/senateur/bonnefoy_nicole08060w.html,https://www.senat.fr/senimg/bonnefoy_nicole08060w_carre.jpg,Nicole Bonnefoy,-0.8777726275701148,0.13204969534753253,65,12,0.171875,-0.8152406676847206,0.050540205999973865,0.06695647534295163,proche,TRUE,FALSE,4475,2235,1727,430,83,0.09608938547486033,0.018547486033519554,0.8853631284916201,3962,3954,8,0.9979808177688037,0.6057340437676555,12,4,14
08061X,-0.33163973967799903,0.4802897601959136,Patriat,François,LREM,RDPI,Côte-d'Or,1,https://www.senat.fr/senateur/patriat_francois08061x.html,https://www.senat.fr/senimg/patriat_francois08061x_carre.jpg,François Patriat,-0.33163973967799903,0.8515775889998468,19,4,0.16666666666666666,-0.2287700594907271,0.4329764633827035,0.11322861456878523,intermédiaire,FALSE,FALSE,4475,1969,2136,315,55,0.07039106145251396,0.012290502793296089,0.9173184357541899,4093,4085,8,0.9980454434400196,0.059601155875539824,117,3,2
