acteur_id,nom,prenom,civilite,trigramme,date_naissance,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,an_legislatures,senat_active
PA1008,David,Alain,M.,ADA,1949-06-02,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,17,False
PA1567,Guedj,Jérôme,M.,JGD,1972-01-23,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,6,Essonne,Inspecteur général des affaires sociales,https://www.hatvp.fr/pages_nominatives/guedj-jerome,17,False
PA1592,Habib,David,M.,DHA,1961-03-16,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,17,False
PA1630,Herbillon,Michel,M.,MHR,1951-03-06,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,8,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,17,False
PA1654,Hollande,François,M.,FHL,1954-08-12,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Corrèze,Conseiller référendaire à la Cour des comptes,https://www.hatvp.fr/pages_nominatives/hollande-francois-27434,17,False
PA227089,Létard,Valérie,Mme,VLET,1962-10-13,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,21,Nord,Cadre de la fonction publique territoriale,https://www.hatvp.fr/pages_nominatives/letard-valerie,17,False
PA266793,Bony,Jean-Yves,M.,JBY,1955-03-11,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013,17,False
PA266797,Gosselin,Philippe,M.,PGS,1966-10-23,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Manche,Maître de conférences à Sciences Po,https://www.hatvp.fr/pages_nominatives/gosselin-philippe,17,False
PA266808,Rolland,Vincent,M.,VRO,1970-02-01,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Savoie,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/rolland-vincent-7763,17,False
PA267042,Favennec-Bécot,Yannick,M.,YFA,1958-08-12,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Mayenne,Directeur de cabinet,https://www.hatvp.fr/pages_nominatives/favennec-becot-yannick,17,False
