scrutin_id,legislature,numero,date_scrutin,titre,objet,code_type_vote,libelle_type_vote,sort_code,sort_libelle,mode_publication,nombre_votants,suffrages_exprimes,pour,contre,abstentions,non_votants,demandeur,organe_ref,session_ref,seance_ref
VTANR5L14V1,14,1,2012-07-03,"la déclaration de politique générale du gouvernement de Jean-Marc Ayrault (application de l'article 49, alinéa premier de la Constitution).","la déclaration de politique générale du gouvernement de Jean-Marc Ayrault (application de l'article 49, alinéa premier de la Constitution).",SAT,scrutin à la tribune,adopté,l'Assemblée nationale a adopté,DecompteNominatif,544,527,302,225,17,26,Conférence des présidents,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16433
VTANR5L14V2,14,2,2012-07-17,l'article 1er du projet de loi de finances rectificative pour 2012 (abrogation de la TVA dite sociale).,l'article 1er du projet de loi de finances rectificative pour 2012 (abrogation de la TVA dite sociale).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteDissidentsPositionGroupe,110,109,61,48,1,27,Président du groupe de l'union pour un mouvement populaire,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16440
VTANR5L14V3,14,3,2012-07-18,les amendements de suppression de l'article 2 du projet de loi de finances rectificative pour 2012 (suppression des allègements sociaux attachés aux heures supplémentaires et complémentaires de travail).,les amendements de suppression de l'article 2 du projet de loi de finances rectificative pour 2012 (suppression des allègements sociaux attachés aux heures supplémentaires et complémentaires de travail).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteDissidentsPositionGroupe,260,259,81,178,1,26,Président du groupe de l'union pour un mouvement populaire,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16442
VTANR5L14V4,14,4,2012-07-18,les amendements de suppression de l'alinéa 2 à l'article 2 du projet de loi de finances rectificative pour 2012 (exonération des cotisations patronales sur les heures supplémentaires).,les amendements de suppression de l'alinéa 2 à l'article 2 du projet de loi de finances rectificative pour 2012 (exonération des cotisations patronales sur les heures supplémentaires).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteDissidentsPositionGroupe,265,265,88,177,0,27,Président du groupe de l'union pour un mouvement populaire,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16442
VTANR5L14V5,14,5,2012-07-18,l'article 2 du projet de loi de finances rectificative pour 2012 (suppression des allègements sociaux sur les heures supplémentaires et complémentaires).,l'article 2 du projet de loi de finances rectificative pour 2012 (suppression des allègements sociaux sur les heures supplémentaires et complémentaires).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteDissidentsPositionGroupe,153,153,89,64,0,26,Président du groupe de l'union pour un mouvement populaire,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16448
VTANR5L14V10,14,10,2012-07-19,l'article 27 du projet de loi de finances rectificative pour 2012 (épargne salariale).,l'article 27 du projet de loi de finances rectificative pour 2012 (épargne salariale).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteDissidentsPositionGroupe,158,158,106,52,0,27,Président du groupe de l'union pour un mouvement populaire,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16474
VTANR5L14V11,14,11,2012-07-19,l'article 29 du projet de loi de finances rectificative pour 2012 (suppression du droit de timbre pour les bénéficiaires de l'aide médicale d'État).,l'article 29 du projet de loi de finances rectificative pour 2012 (suppression du droit de timbre pour les bénéficiaires de l'aide médicale d'État).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteDissidentsPositionGroupe,139,139,99,40,0,27,"Président du groupe de l'union pour un mouvement populaire

Président du groupe de l'union des démocrates et indépendants",PO644420,SCR5A2012E1,RUANR5L14S2012IDS16474
VTANR5L14V12,14,12,2012-07-19,l'article 30 du projet de loi de finances rectificative pour 2012 (suppression du dispositif de prise en charge des frais de scolarité des enfants français scolarisés dans les écoles françaises de l'étranger).,l'article 30 du projet de loi de finances rectificative pour 2012 (suppression du dispositif de prise en charge des frais de scolarité des enfants français scolarisés dans les écoles françaises de l'étranger).,SPO,scrutin public ordinaire,adopté,l'Assemblée nationale a adopté,DecompteDissidentsPositionGroupe,114,114,91,23,0,27,Président du groupe de l'union pour un mouvement populaire,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16474
VTANR5L14V13,14,13,2012-07-19,l'amendement n° 415 de M. de Courson portant article additionnel après l'article 30 du projet de loi de finances pour 2012,l'amendement n° 415 de M. de Courson portant article additionnel après l'article 30 du projet de loi de finances pour 2012,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteDissidentsPositionGroupe,113,112,5,107,1,27,Président du groupe de l'union des démocrates et indépendants,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16474
VTANR5L14V6,14,6,2012-07-19,L'amendement   n° 467  de M. de Courson à l'article 3 du projet de loi de finances rectificative pour 2012 (plafonnement à 70 % de la contribution exceptionnelle sur la fortune).,L'amendement   n° 467  de M. de Courson à l'article 3 du projet de loi de finances rectificative pour 2012 (plafonnement à 70 % de la contribution exceptionnelle sur la fortune).,SPO,scrutin public ordinaire,rejeté,L'Assemblée nationale n'a pas adopté,DecompteDissidentsPositionGroupe,114,114,24,90,0,27,Président du groupe de l'union des démocrates et indépendants,PO644420,SCR5A2012E1,RUANR5L14S2012IDS16472
