acteur_id,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp
PA1008,David,Alain,M.,ADA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain
PA1567,Guedj,Jérôme,M.,JGD,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,6,Essonne,Inspecteur général des affaires sociales,https://www.hatvp.fr/pages_nominatives/guedj-jerome
PA1592,Habib,David,M.,DHA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david
PA1630,Herbillon,Michel,M.,MHR,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,8,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel
PA1654,Hollande,François,M.,FHL,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Corrèze,Conseiller référendaire à la Cour des comptes,https://www.hatvp.fr/pages_nominatives/hollande-francois-27434
PA227089,Létard,Valérie,Mme,VLET,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,21,Nord,Cadre de la fonction publique territoriale,https://www.hatvp.fr/pages_nominatives/letard-valerie
PA266793,Bony,Jean-Yves,M.,JBY,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013
PA266797,Gosselin,Philippe,M.,PGS,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Manche,Maître de conférences à Sciences Po,https://www.hatvp.fr/pages_nominatives/gosselin-philippe
PA266808,Rolland,Vincent,M.,VRO,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Savoie,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/rolland-vincent-7763
PA267042,Favennec-Bécot,Yannick,M.,YFA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Mayenne,Directeur de cabinet,https://www.hatvp.fr/pages_nominatives/favennec-becot-yannick
PA267200,Huyghe,Sébastien,M.,SHY,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Nord,Notaire,https://www.hatvp.fr/pages_nominatives/huyghe-sebastien
PA267285,Wauquiez,Laurent,M.,LWA,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Haute-Loire,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/wauquiez-laurent
PA267318,Grelier,Jean-Carles,M.,JGR,PO845454,DEM,Les Démocrates,Dem,#F07E26,,5,Sarthe,Avocat,https://www.hatvp.fr/pages_nominatives/grelier-jean-carles-9591
PA267763,Bataille,Jean-Pierre,M.,JPB,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,15,Nord,Pharmacien,https://www.hatvp.fr/pages_nominatives/bataille-jean-pierre-9443
PA267780,Firmin Le Bodo,Agnès,Mme,AFI,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,7,Seine-Maritime,Pharmacien,https://www.hatvp.fr/pages_nominatives/firmin-le-bodo-agnes
PA267794,Tabarot,Michèle,Mme,MTA,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,9,Alpes-Maritimes,Chef d'entreprise,https://www.hatvp.fr/pages_nominatives/tabarot-michele
PA2940,Voynet,Dominique,Mme,DVO,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Doubs,Médecin,https://www.hatvp.fr/pages_nominatives/voynet-dominique-8816
PA2952,Warsmann,Jean-Luc,M.,JWA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Ardennes,Directeur de mutuelle,https://www.hatvp.fr/pages_nominatives/warsmann-jean-luc
PA309643,Besse,Véronique,Mme,VBE,PO840056,NI,Non inscrit,NI,#8D949A,,4,Vendée,Journaliste,https://www.hatvp.fr/pages_nominatives/besse-veronique
PA330008,Breton,Xavier,M.,XBR,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Ain,Cadre territorial,https://www.hatvp.fr/pages_nominatives/breton-xavier
PA330240,Ciotti,Éric,M.,ECI,PO872880,UDDPLR,Union des droites pour la République,UDR,#3367A7,,1,Alpes-Maritimes,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/ciotti-eric
PA330909,Descoeur,Vincent,M.,VDE,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Cantal,Professeur agrégé de biologie,https://www.hatvp.fr/pages_nominatives/descoeur-vincent-3159
PA331582,Vigier,Philippe,M.,PVG,PO845454,DEM,Les Démocrates,Dem,#F07E26,,4,Eure-et-Loir,Biologiste A.I.H.P.,https://www.hatvp.fr/pages_nominatives/vigier-philippe
PA331973,Got,Pascale,Mme,PGT,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,5,Gironde,Journaliste,https://www.hatvp.fr/pages_nominatives/got-pascale
PA332228,Benoit,Thierry,M.,TBE,PO845470,HOR,Horizons & Indépendants,HOR,#B5E2F9,,6,Ille-et-Vilaine,Représentant de commerce,https://www.hatvp.fr/pages_nominatives/benoit-thierry
PA332523,Dalloz,Marie-Christine,Mme,MDL,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Jura,retraitée,https://www.hatvp.fr/pages_nominatives/dalloz-marie-christine
PA333285,Garot,Guillaume,M.,GGR,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Mayenne,Cadre administratif,https://www.hatvp.fr/pages_nominatives/garot-guillaume
PA335054,Karamanli,Marietta,Mme,MKA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Sarthe,Professeur dans l'enseignement supérieur,https://www.hatvp.fr/pages_nominatives/karamanli-marietta
PA335612,Lecoq,Jean-Paul,M.,JLC,PO845514,GDR,Gauche Démocrate et Républicaine,GDR,#830E21,,8,Seine-Maritime,Électricien,https://www.hatvp.fr/pages_nominatives/lecoq-jean-paul
PA335999,Batho,Delphine,Mme,DBT,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,2,Deux-Sèvres,Cadre territorial,https://www.hatvp.fr/pages_nominatives/batho-delphine
PA340343,Saulignac,Hervé,M.,HSA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Ardèche,Cadre (entreprises publiques),https://www.hatvp.fr/pages_nominatives/saulignac-herve-8266
PA341981,Récalde,Marie,Mme,mre,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,6,Gironde,Avocate,https://www.hatvp.fr/pages_nominatives/recalde-marie
PA342196,Rouaux,Claudia,Mme,ROC,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,3,Ille-et-Vilaine,Gestionnaire à l'INRAE,https://www.hatvp.fr/pages_nominatives/rouaux-claudia
PA342240,Bourgeaux,Jean-Luc,M.,JBO,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,7,Ille-et-Vilaine,Agriculteur,https://www.hatvp.fr/pages_nominatives/bourgeaux-jean-luc-18806
PA342384,Martin,Élisa,Mme,EMR,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,3,Isère,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/martin-elisa
PA342415,Battistel,Marie-Noëlle,Mme,MNB,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Isère,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/battistel-marie-noelle
PA345722,Le Grip,Constance,Mme,CLG,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,6,Hauts-de-Seine,Conseillère parlementaire,https://www.hatvp.fr/pages_nominatives/le-grip-constance
PA346782,Juvin,Philippe,M.,PJU,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Hauts-de-Seine,Professeur de médecine,https://www.hatvp.fr/pages_nominatives/juvin-philippe
PA368,Barnier,Michel,M.,MBAR,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Paris,Ancien Premier ministre,https://www.hatvp.fr/pages_nominatives/barnier-michel-27734
