groupe_code,groupe_libelle_court,deputies,average_dim1,median_dim1,min_dim1,max_dim1
LFI-NFP,LFI-NFP,71,-0.7715039181582897,-0.7679132491061575,-0.917773337996342,-0.6361951617241322
ECOS,EcoS,38,-0.7007127534374568,-0.7145028032014153,-0.7851919167243809,-0.5027547435096192
SOC,SOC,68,-0.5509902789690071,-0.5713239978246876,-0.6619640733175153,-0.163228818879253
GDR,GDR,17,-0.504467224331105,-0.4999269805273446,-0.7836760175285358,-0.3517694772285129
LIOT,LIOT,23,-0.027132851862426435,-0.0028202788615302,-0.2364809176870282,0.1674097272032694
DEM,Dem,37,0.049716525998338534,0.0293095032442799,-0.0824021392245562,0.270912945803288
EPR,EPR,91,0.09069195094319875,0.067555633174939,-0.1521282539284942,0.3322213053307198
HOR,HOR,34,0.1498385350205096,0.14504028328963048,0.0363731934938816,0.2866845308443532
NI,NI,9,0.1777161259505521,0.1659363585901324,-0.1768338573957434,0.5355727004325513
DR,DR,47,0.34928699706042554,0.3591069203814347,0.088513582908927,0.4805913814493998
UDR,UDR,3,0.6254264827739522,0.6323264721655083,0.5819930463114596,0.6619599298448886
UDDPLR,UDR,14,0.6912437168009568,0.6991794049279063,0.5823494511613769,0.7507426700466978
RN,RN,123,0.7214568470494299,0.740388134086388,0.342903835485822,0.916819844503274
