acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA1001,0.5303938476320595,-0.0894318165688273,Daubresse,Marc-Philippe,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Nord,Ancien directeur d'une société de recrutement,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Marc-Philippe Daubresse
PA1012,0.5036006814829241,-0.1709683817268336,de la Verpillière,Charles,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Ain,Conseiller d'État,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Charles de la Verpillière
PA1020,0.2755715908537269,-0.2445861691860665,Debré,Bernard,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",15,Paris,"Chirurgien des hôpitaux, professeur des Universités","{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Bernard Debré
PA1029,0.6103514758307994,-0.2846065994492151,Deflesselles,Bernard,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",9,Bouches-du-Rhône,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Bernard Deflesselles
PA1031,0.3486434013491253,-0.1444992326360915,Degauchy,Lucien,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Oise,Horticulteur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Lucien Degauchy
PA1032,-0.227311809008092,0.2881947045482452,Deguilhem,Pascal,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Dordogne,Professeur d'Education physique (Université Bordeaux IV),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Pascal Deguilhem
PA1116,-0.3865484878389445,0.2260648340433723,Destot,Michel,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Isère,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Michel Destot
PA1124,0.3317453090750449,-0.4886653414609981,Devedjian,Patrick,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",13,Hauts-de-Seine,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Patrick Devedjian
PA1141,-0.1787540240199625,-0.3660340253990011,Dolez,Marc,PO656018,GDR,Gauche démocrate et républicaine,GDR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",17,Nord,Maître de conférences,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Minoritaire,Marc Dolez
PA1152,0.3409634631099145,-0.2094664296753787,Dord,Dominique,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Savoie,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}","{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Dominique Dord
