acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name,dim1_raw,dim2_raw,group_members,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,rank_left_to_right,percentile_left_to_right,ideal_rank_left_to_right,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,groupe_couleur_dep,position_politique_dep,departement_dep,date_naissance,rank_abstention_in_group,rank_most_loyal_in_group
PA1008,-0.12063363095868608,-0.5060128940596871,David,Alain,PO758835,SOC,Socialistes et apparentés,SOC,M.,ADA,4,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,#D46CA9,Opposition,Alain David,-0.1359325380025471,-0.5060128940596871,34,-0.11558567018051201,-0.40942333119454916,0.09672138110312743,proche,True,False,15.0,0.4411764705882353,48.0,255,150,89,16,0,0.0627450980392156,0.0,0.9372549019607844,231,221,10,0.9567099567099568,#D46CA9,Opposition,Gironde,1949-06-02,15.0,34.0
PA1012,0.36592657553902697,-0.5452304790159574,de la Verpillière,Charles,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Ain,Conseiller d'État,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Charles de la Verpillière,0.4123338387504545,-0.5452304790159574,119,0.26226051945699275,-0.39586814371825485,0.18181242638826092,intermédiaire,False,False,112.0,0.9411764705882353,633.0,519,306,157,56,0,0.1078998073217726,0.0,0.8921001926782274,461,454,7,0.9848156182212582,#1C2EFA,Opposition,Ain,1954-05-31,47.0,25.0
PA1029,0.21876229836487684,-0.2869937102707101,Deflesselles,Bernard,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",9,Bouches-du-Rhône,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Bernard Deflesselles,0.2465060049978293,-0.2869937102707101,119,0.26226051945699275,-0.39586814371825485,0.1172422172116446,intermédiaire,False,False,33.0,0.2773109243697479,553.0,179,82,71,26,0,0.1452513966480447,0.0,0.8547486033519553,153,150,3,0.9803921568627452,#1C2EFA,Opposition,Bouches-du-Rhône,1953-10-16,98.0,36.0
PA1198,-0.14623129385921851,-0.4575811340410577,Dumont,Laurence,PO758835,SOC,Socialistes et apparentés,SOC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Calvados,Chargée d'études,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#D46CA9,Opposition,Laurence Dumont,-0.1647765283338559,-0.4575811340410577,34,-0.11558567018051201,-0.40942333119454916,0.057081767891859175,proche,True,False,4.0,0.11764705882352941,32.0,161,84,65,12,0,0.0745341614906832,0.0,0.9254658385093169,148,148,0,1.0,#D46CA9,Opposition,Calvados,1958-06-02,19.0,3.5
PA1206,-0.02178544691081495,-0.3859055429800697,Dupont-Aignan,Nicolas,PO723569,NI,Non inscrit,NI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8,Essonne,Administrateur de l'Etat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#8D949A,,Nicolas Dupont-Aignan,-0.0245483043706196,-0.3859055429800697,14,0.09697405522389091,-0.44657262397218395,0.13335784215180957,intermédiaire,False,False,2.0,0.14285714285714285,106.0,328,165,131,32,0,0.0975609756097561,0.0,0.902439024390244,289,278,11,0.9619377162629758,#8D949A,,Essonne,1961-03-07,2.0,10.0
PA1276,0.06372565712455476,0.3641771149513613,Fanget,Michel,PO730970,MODEM,Mouvement Démocrate et apparentés,MODEM,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Puy-de-Dôme,Cardiologue,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#F26D22,Minoritaire,Michel Fanget,0.071807424181632,0.3641771149513613,44,0.05548791092720787,0.3045318099829089,0.06021148451243827,proche,True,False,26.0,0.5909090909090909,424.0,105,65,38,2,0,0.019047619047619,0.0,0.9809523809523808,103,102,1,0.9902912621359224,#F26D22,Minoritaire,Puy-de-Dôme,1950-05-03,18.0,5.0
PA1327,0.21298501012218718,-0.1697439688912988,Forissier,Nicolas,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Indre,Chef d'entreprise,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Nicolas Forissier,0.2399960338781667,-0.1697439688912988,119,0.26226051945699275,-0.39586814371825485,0.23143080663856377,intermédiaire,False,False,29.0,0.24369747899159663,548.0,406,200,164,42,0,0.1034482758620689,0.0,0.896551724137931,362,338,24,0.9337016574585636,#1C2EFA,Opposition,Indre,1961-02-17,36.0,114.0
PA1498,0.31119829088425316,-0.0761209059875187,Goasguen,Claude,PO730934,LR,Les Républicains,LR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",14,Paris,Avocat à la Cour d'appel de Paris,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",#1C2EFA,Opposition,Claude Goasguen,0.3506648450003033,-0.0761209059875187,119,0.26226051945699275,-0.39586814371825485,0.3234705574062386,éloigné,False,True,94.0,0.7899159663865546,615.0,231,95,114,22,0,0.0952380952380952,0.0,0.9047619047619048,208,191,17,0.9182692307692308,#1C2EFA,Opposition,Paris,1945-03-12,26.0,116.0
PA1592,-0.07116423083121634,-0.3787855975284462,Habib,David,PO758835,SOC,Socialistes et apparentés,SOC,M.,DHA,3,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,#D46CA9,Opposition,David Habib,-0.0801893670530342,-0.3787855975284462,34,-0.11558567018051201,-0.40942333119454916,0.05396234796650542,proche,True,False,32.0,0.9411764705882353,72.0,160,105,43,12,0,0.075,0.0,0.925,146,140,6,0.958904109589041,#D46CA9,Opposition,Pyrénées-Atlantiques,1961-03-16,20.0,33.0
PA1630,0.2872744099814361,-0.3760920034049951,Herbillon,Michel,PO730934,LR,Les Républicains,LR,M.,MHR,8,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,#1C2EFA,Opposition,Michel Herbillon,0.323706907780422,-0.3760920034049951,119,0.26226051945699275,-0.39586814371825485,0.03188715172069426,proche,True,False,77.0,0.6470588235294118,598.0,290,162,103,25,0,0.0862068965517241,0.0,0.913793103448276,265,261,4,0.9849056603773584,#1C2EFA,Opposition,Val-de-Marne,1951-03-06,15.0,23.0
