acteur_id,groupe_code,groupe_libelle_court,nom,prenom,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share
PA1008,NG,NG,David,Alain,255,150,89,16,0,0.06274509803921569,0,0.9372549019607843
PA1008,SOC,SOC,David,Alain,734,496,193,45,0,0.06130790190735695,0,0.9386920980926431
PA1012,LR,LR,de la Verpillière,Charles,519,306,157,56,0,0.10789980732177264,0,0.8921001926782274
PA1029,LR,LR,Deflesselles,Bernard,179,82,71,26,0,0.1452513966480447,0,0.8547486033519553
PA1198,NG,NG,Dumont,Laurence,161,84,65,12,0,0.07453416149068323,0,0.9254658385093167
PA1198,SOC,SOC,Dumont,Laurence,308,195,84,29,0,0.09415584415584416,0,0.9058441558441559
PA1206,NI,NI,Dupont-Aignan,Nicolas,328,165,131,32,0,0.0975609756097561,0,0.9024390243902439
PA1276,DEM,Dem,Fanget,Michel,105,65,38,2,0,0.01904761904761905,0,0.9809523809523809
PA1276,MODEM,MODEM,Fanget,Michel,125,104,20,1,0,0.008,0,0.992
PA1327,LR,LR,Forissier,Nicolas,406,200,164,42,0,0.10344827586206896,0,0.896551724137931
PA1498,LR,LR,Goasguen,Claude,231,95,114,22,0,0.09523809523809523,0,0.9047619047619048
PA1592,NG,NG,Habib,David,160,105,43,12,0,0.075,0,0.925
PA1592,SOC,SOC,Habib,David,734,236,106,38,354,0.051771117166212535,0.4822888283378747,0.4659400544959128
PA1630,LR,LR,Herbillon,Michel,290,162,103,25,0,0.08620689655172414,0,0.9137931034482759
PA1695,LR,LR,Jacob,Christian,448,236,177,35,0,0.078125,0,0.921875
PA1809,NG,NG,Lambert,Jérôme,62,35,24,3,0,0.04838709677419355,0,0.9516129032258065
PA1809,SOC,SOC,Lambert,Jérôme,284,174,88,22,0,0.07746478873239436,0,0.9225352112676056
PA1838,LT,LT,Lassalle,Jean,265,159,96,10,0,0.03773584905660377,0,0.9622641509433962
PA1838,NI,NI,Lassalle,Jean,150,70,71,9,0,0.06,0,0.94
PA1874,LR,LR,Le Fur,Marc,1352,422,236,62,632,0.04585798816568047,0.46745562130177515,0.48668639053254437
PA1960,LC,LC,Leroy,Maurice,21,14,2,5,0,0.23809523809523808,0,0.7619047619047619
PA1960,UDI-AGIR,UDI-AGIR,Leroy,Maurice,168,10,6,7,145,0.041666666666666664,0.8630952380952381,0.09523809523809523
PA2086,LR,LR,Marlin,Franck,85,27,47,11,0,0.12941176470588237,0,0.8705882352941177
PA2150,FI,FI,Mélenchon,Jean-Luc,1016,588,347,81,0,0.0797244094488189,0,0.9202755905511811
PA2155,LR,LR,Menuel,Gérard,410,203,154,53,0,0.12926829268292683,0,0.8707317073170732
PA223837,LR,LR,Brochand,Bernard,291,122,98,71,0,0.24398625429553264,0,0.7560137457044673
PA2377,LR,LR,Perrut,Bernard,490,278,154,58,0,0.11836734693877551,0,0.8816326530612245
PA2449,LAREM,LaREM,Pont,Jean-Pierre,811,306,495,10,0,0.012330456226880395,0,0.9876695437731196
PA2492,LR,LR,Quentin,Didier,231,105,95,31,0,0.1341991341991342,0,0.8658008658008658
PA2529,LR,LR,Reitzer,Jean-Luc,176,81,73,22,0,0.125,0,0.875
PA266774,LR,LR,Furst,Laurent,250,127,82,41,0,0.164,0,0.836
PA266776,LR,LR,Reiss,Frédéric,1081,612,320,149,0,0.13783533765032377,0,0.8621646623496763
PA266788,LC,LC,Morel-À-L'Huissier,Pierre,33,21,3,9,0,0.2727272727272727,0,0.7272727272727273
PA266788,UDI-A-I,UDI-AGIR,Morel-À-L'Huissier,Pierre,51,35,4,12,0,0.23529411764705882,0,0.7647058823529411
PA266788,UDI-AGIR,UDI-AGIR,Morel-À-L'Huissier,Pierre,118,67,30,21,0,0.17796610169491525,0,0.8220338983050848
PA266788,UDI-I,UDI-I,Morel-À-L'Huissier,Pierre,14,10,2,2,0,0.14285714285714285,0,0.8571428571428571
PA266788,UDI_I,UDI-I,Morel-À-L'Huissier,Pierre,91,56,12,23,0,0.25274725274725274,0,0.7472527472527473
PA266793,LR,LR,Bony,Jean-Yves,835,459,246,130,0,0.15568862275449102,0,0.844311377245509
PA266797,LR,LR,Gosselin,Philippe,862,456,315,91,0,0.10556844547563805,0,0.894431554524362
PA266808,LR,LR,Rolland,Vincent,455,276,122,57,0,0.12527472527472527,0,0.8747252747252747
PA267042,DEM,Dem,Favennec-Bécot,Yannick,66,33,27,6,0,0.09090909090909091,0,0.9090909090909091
PA267042,LC,LC,Favennec-Bécot,Yannick,56,33,13,10,0,0.17857142857142858,0,0.8214285714285714
PA267042,LT,LT,Favennec-Bécot,Yannick,230,146,52,32,0,0.1391304347826087,0,0.8608695652173913
PA267042,NI,NI,Favennec-Bécot,Yannick,3,1,1,1,0,0.3333333333333333,0,0.6666666666666666
PA267042,UDI-AGIR,UDI-AGIR,Favennec-Bécot,Yannick,69,43,19,7,0,0.10144927536231885,0,0.8985507246376812
PA267042,UDI_I,UDI-I,Favennec-Bécot,Yannick,144,76,48,20,0,0.1388888888888889,0,0.8611111111111112
PA267200,LR,LR,Huyghe,Sébastien,480,240,196,44,0,0.09166666666666666,0,0.9083333333333333
PA267204,LR,LR,Sermier,Jean-Marie,601,297,213,91,0,0.15141430948419302,0,0.848585690515807
