groupe_code,groupe_libelle_court,deputies,average_dim1,median_dim1,min_dim1,max_dim1
LFI-NUPES,LFI - NUPES,76,-0.7159269462273613,-0.7158284769780667,-0.992345891482367,-0.4175034537072722
ECOLO,Ecolo - NUPES,23,-0.46809266004100536,-0.4606803951161292,-0.5441199751213733,-0.4104767682247133
GDR-NUPES,GDR - NUPES,24,-0.44827714807636426,-0.44991743677717533,-0.597788093416611,-0.3279273582345682
SOC,SOC,31,-0.31950661068872815,-0.3331874448350788,-0.3828923091015345,-0.2161628677683151
LIOT,LIOT,21,-0.031208049831521683,-0.0551811811093308,-0.178157782916671,0.1588737239604141
NI,NI,4,0.060142690255496754,0.14683057464048144,-0.2425567716773279,0.189466383418352
RN,RN,90,0.09497696331960859,0.09322578711666366,0.0256343143676863,0.1947770694448012
LR,LR,63,0.23735003083145131,0.2297628562502656,0.1313574799882839,0.3985999380346861
HOR,HOR,32,0.36736835455017997,0.3752653800213369,0.1364754951413736,0.4804780729119718
DEM,Dem,54,0.37938093421601815,0.3826412814163266,0.1665731429942741,0.4820138675025441
RE,RE,180,0.4749796691166661,0.4748498490077725,0.265841455565788,0.7887079364563899
