acteur_id,nom,prenom,groupe_code,groupe_libelle_court,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate
PA1001,Daubresse,Marc-Philippe,UMPPO,Les Républicains,1,1,0,1
PA1008,David,Alain,SOC,SOC,755,736,19,0.9748344370860927
PA1008,David,Alain,SOC-A,SOC,64,63,1,0.984375
PA1127,Dhersin,Franck,UCPOL,UC,1,1,0,1
PA1206,Dupont-Aignan,Nicolas,NI,NI,160,154,6,0.9625
PA1327,Forissier,Nicolas,LR,LR,332,316,16,0.9518072289156626
PA1567,Guedj,Jérôme,SOC,SOC,597,593,4,0.9932998324958124
PA1567,Guedj,Jérôme,SOC-A,SOC,170,163,7,0.9588235294117647
PA1573,Guérini,Jean-Noël,RDSEP,RDSE,1,1,0,1
PA1592,Habib,David,NI,NI,144,136,8,0.9444444444444444
PA1630,Herbillon,Michel,LR,LR,191,188,3,0.9842931937172775
PA1744,Joyandet,Alain,UMPPO,Les Républicains,1,1,0,1
PA1874,Le Fur,Marc,LR,LR,426,415,11,0.9741784037558685
PA2042,Malhuret,Claude,RTLIP,Les Indépendants,1,1,0,1
PA205280,Karoutchi,Roger,UMPPO,Les Républicains,1,1,0,1
PA2074,Marie,Didier,SOCPO,SER,1,1,0,1
PA2197,Milon,Alain,UMPPO,Les Républicains,1,0,1,0
PA227094,Sido,Bruno,UMPPO,Les Républicains,1,0,1,0
PA227098,Vanlerenberghe,Jean-Marie,UCPOL,UC,1,1,0,1
PA2337,Patriat,François,LREMP,RDPI,1,1,0,1
PA2449,Pont,Jean-Pierre,RE,RE,1152,1147,5,0.9956597222222222
PA2538,Retailleau,Bruno,UMPPO,Les Républicains,1,0,1,0
PA266788,Morel-À-L'Huissier,Pierre,LIOT,LIOT,139,129,10,0.9280575539568345
PA266793,Bony,Jean-Yves,LR,LR,605,581,24,0.9603305785123967
PA266795,Gatel,Françoise,UCPOL,UC,1,1,0,1
PA266797,Gosselin,Philippe,LR,LR,590,583,7,0.988135593220339
PA266808,Rolland,Vincent,LR,LR,280,277,3,0.9892857142857143
PA267042,Favennec-Bécot,Yannick,HOR,HOR,273,259,14,0.9487179487179487
PA267042,Favennec-Bécot,Yannick,LIOT,LIOT,115,106,9,0.9217391304347826
PA267075,Blanc,Étienne,UMPPO,Les Républicains,1,0,1,0
PA267081,Gruny,Pascale,UMPPO,Les Républicains,1,0,1,0
PA267112,Deseyne,Chantal,UMPPO,Les Républicains,1,0,1,0
PA267241,Demilly,Stéphane,UCPOL,UC,1,1,0,1
PA267306,Chassaigne,André,GDR-NUPES,GDR - NUPES,356,355,1,0.9971910112359551
PA267318,Grelier,Jean-Carles,RE,RE,254,254,0,1
PA267324,Gaultier,Jean-Jacques,LR,LR,288,277,11,0.9618055555555556
PA267328,Perrin,Cédric,UMPPO,Les Républicains,1,1,0,1
PA267336,Giraud,Joël,RE,RE,1831,1816,15,0.991807755324959
PA267340,Darnaud,Mathieu,UMPPO,Les Républicains,1,1,0,1
PA267387,Fouassin,Stéphane,LREMP,RDPI,1,1,0,1
PA267429,Cinieri,Dino,LR,LR,571,546,25,0.9562171628721541
PA267512,Marc,Alain,RTLIP,Les Indépendants,1,1,0,1
PA267766,Bricout,Guy,LIOT,LIOT,406,374,32,0.9211822660098522
PA267780,Firmin Le Bodo,Agnès,HOR,HOR,195,195,0,1
PA267794,Tabarot,Michèle,LR,LR,149,146,3,0.9798657718120806
PA267901,Kamardine,Mansour,LR,LR,209,208,1,0.9952153110047847
PA267907,Grand,Jean-Pierre,RTLIP,Les Indépendants,1,1,0,1
PA268007,Corbisez,Jean-Pierre,CRCPO,CRCE-K,1,1,0,1
PA268048,Lurel,Victorin,SOCPO,SER,1,1,0,1
PA2952,Warsmann,Jean-Luc,LIOT,LIOT,73,64,9,0.8767123287671232
PA2960,Woerth,Éric,RE,RE,909,900,9,0.9900990099009901
PA303995,Schillinger,Patricia,LREMP,RDPI,1,1,0,1
PA304085,Cambon,Christian,UMPPO,Les Républicains,1,1,0,1
PA309643,Besse,Véronique,NI,NI,95,94,1,0.9894736842105263
PA330008,Breton,Xavier,LR,LR,422,390,32,0.9241706161137441
PA330240,Ciotti,Éric,LR,LR,274,267,7,0.9744525547445255
PA330357,Dussopt,Olivier,RE,RE,26,26,0,1
PA330909,Descoeur,Vincent,LR,LR,732,721,11,0.9849726775956285
PA331381,Grosperrin,Jacques,UMPPO,Les Républicains,1,1,0,1
PA331582,Vigier,Philippe,DEM,Dem,708,696,12,0.9830508474576272
