acteur_id,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique
PA1008,David,Alain,PO845419,SOC,Socialistes et apparentés,SOC,M.,ADA,4,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,#F5B4CE,
PA1567,Guedj,Jérôme,PO845419,SOC,Socialistes et apparentés,SOC,M.,JGD,6,Essonne,Inspecteur général des affaires sociales,https://www.hatvp.fr/pages_nominatives/guedj-jerome,#F5B4CE,
PA1592,Habib,David,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,DHA,3,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,#FFD96F,
PA1630,Herbillon,Michel,PO845425,DR,Droite Républicaine,DR,M.,MHR,8,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,#8CB0DC,
PA1654,Hollande,François,PO845419,SOC,Socialistes et apparentés,SOC,M.,FHL,1,Corrèze,Conseiller référendaire à la Cour des comptes,https://www.hatvp.fr/pages_nominatives/hollande-francois-27434,#F5B4CE,
PA227089,Létard,Valérie,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,Mme,VLET,21,Nord,Cadre de la fonction publique territoriale,https://www.hatvp.fr/pages_nominatives/letard-valerie,#FFD96F,
PA266793,Bony,Jean-Yves,PO845425,DR,Droite Républicaine,DR,M.,JBY,2,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013,#8CB0DC,
PA266797,Gosselin,Philippe,PO845425,DR,Droite Républicaine,DR,M.,PGS,1,Manche,Maître de conférences à Sciences Po,https://www.hatvp.fr/pages_nominatives/gosselin-philippe,#8CB0DC,
PA266808,Rolland,Vincent,PO845425,DR,Droite Républicaine,DR,M.,VRO,2,Savoie,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/rolland-vincent-7763,#8CB0DC,
PA267042,Favennec-Bécot,Yannick,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,YFA,3,Mayenne,Directeur de cabinet,https://www.hatvp.fr/pages_nominatives/favennec-becot-yannick,#FFD96F,
PA267200,Huyghe,Sébastien,PO845407,EPR,Ensemble pour la République,EPR,M.,SHY,5,Nord,Notaire,https://www.hatvp.fr/pages_nominatives/huyghe-sebastien,#7B4591,
PA267285,Wauquiez,Laurent,PO845425,DR,Droite Républicaine,DR,M.,LWA,1,Haute-Loire,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/wauquiez-laurent,#8CB0DC,
PA267318,Grelier,Jean-Carles,PO845454,DEM,Les Démocrates,Dem,M.,JGR,5,Sarthe,Avocat,https://www.hatvp.fr/pages_nominatives/grelier-jean-carles-9591,#F07E26,
PA267763,Bataille,Jean-Pierre,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,JPB,15,Nord,Pharmacien,https://www.hatvp.fr/pages_nominatives/bataille-jean-pierre-9443,#FFD96F,
PA267780,Firmin Le Bodo,Agnès,PO845470,HOR,Horizons & Indépendants,HOR,Mme,AFI,7,Seine-Maritime,Pharmacien,https://www.hatvp.fr/pages_nominatives/firmin-le-bodo-agnes,#B5E2F9,
