acteur_id,nom,prenom,groupe_code,groupe_libelle_court,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate
PA1008,David,Alain,SOC,SOC,463,446,17,0.9632829373650108
PA1567,Guedj,Jérôme,SOC,SOC,1814,1782,32,0.9823594266813671
PA1592,Habib,David,LIOT,LIOT,308,271,37,0.8798701298701299
PA1630,Herbillon,Michel,DR,DR,540,533,7,0.987037037037037
PA1654,Hollande,François,SOC,SOC,766,732,34,0.9556135770234987
PA227089,Létard,Valérie,LIOT,LIOT,151,148,3,0.9801324503311258
PA266793,Bony,Jean-Yves,DR,DR,1193,1133,60,0.9497066219614417
PA266797,Gosselin,Philippe,DR,DR,1249,1223,26,0.9791833466773419
PA266808,Rolland,Vincent,DR,DR,1037,1014,23,0.9778206364513018
PA267042,Favennec-Bécot,Yannick,LIOT,LIOT,728,695,33,0.9546703296703297
PA267200,Huyghe,Sébastien,EPR,EPR,2664,2331,333,0.875
PA267285,Wauquiez,Laurent,DR,DR,639,624,15,0.9765258215962441
PA267318,Grelier,Jean-Carles,DEM,Dem,517,502,15,0.9709864603481625
PA267763,Bataille,Jean-Pierre,LIOT,LIOT,1009,959,50,0.9504459861248761
PA267780,Firmin Le Bodo,Agnès,HOR,HOR,1994,1959,35,0.9824473420260782
PA267794,Tabarot,Michèle,DR,DR,577,571,6,0.9896013864818024
PA2940,Voynet,Dominique,ECOS,EcoS,2464,2431,33,0.9866071428571429
PA2952,Warsmann,Jean-Luc,LIOT,LIOT,1014,917,97,0.9043392504930966
PA309643,Besse,Véronique,NI,NI,355,278,77,0.7830985915492957
PA330008,Breton,Xavier,DR,DR,805,791,14,0.9826086956521739
PA330240,Ciotti,Éric,UDDPLR,UDR,182,182,0,1.0
PA330240,Ciotti,Éric,UDR,UDR,187,185,2,0.9893048128342246
PA330909,Descoeur,Vincent,DR,DR,1693,1634,59,0.965150620200827
PA331582,Vigier,Philippe,DEM,Dem,1850,1789,61,0.967027027027027
PA331973,Got,Pascale,SOC,SOC,1933,1901,32,0.983445421624418
PA332228,Benoit,Thierry,HOR,HOR,2317,2170,147,0.9365558912386707
PA332523,Dalloz,Marie-Christine,DR,DR,1386,1329,57,0.9588744588744589
PA333285,Garot,Guillaume,SOC,SOC,2162,2140,22,0.9898242368177613
PA335054,Karamanli,Marietta,SOC,SOC,2024,1967,57,0.9718379446640316
PA335612,Lecoq,Jean-Paul,GDR,GDR,1447,1438,9,0.9937802349689012
PA335999,Batho,Delphine,ECOS,EcoS,923,873,50,0.9458288190682557
PA340343,Saulignac,Hervé,SOC,SOC,1143,1127,16,0.9860017497812773
PA341981,Récalde,Marie,SOC,SOC,1013,1003,10,0.9901283316880553
PA342196,Rouaux,Claudia,SOC,SOC,2524,2504,20,0.9920760697305864
PA342240,Bourgeaux,Jean-Luc,DR,DR,1351,1298,53,0.9607698001480385
PA342384,Martin,Élisa,LFI-NFP,LFI-NFP,2492,2485,7,0.9971910112359551
PA342415,Battistel,Marie-Noëlle,SOC,SOC,2859,2814,45,0.9842602308499475
PA345722,Le Grip,Constance,EPR,EPR,1872,1818,54,0.9711538461538461
PA346782,Juvin,Philippe,DR,DR,2053,1925,128,0.9376522162688748
PA368,Barnier,Michel,DR,DR,447,430,17,0.9619686800894854
PA569,Bonnecarrère,Philippe,NI,NI,1966,1883,83,0.9577822990844354
PA588884,Autain,Clémentine,ECOS,EcoS,828,818,10,0.9879227053140096
PA605745,Sansu,Nicolas,GDR,GDR,2015,2008,7,0.9965260545905708
PA605782,Marcangeli,Laurent,HOR,HOR,719,702,17,0.9763560500695411
PA606507,Boudié,Florent,EPR,EPR,1302,1272,30,0.9769585253456221
PA606545,Roumégas,Jean-Louis,ECOS,EcoS,1282,1274,8,0.9937597503900156
PA606573,Dombre Coste,Fanny,SOC,SOC,1566,1552,14,0.9910600255427842
PA606793,Baumel,Laurent,SOC,SOC,1610,1595,15,0.9906832298136646
PA607090,Vigier,Jean-Pierre,DR,DR,1286,1264,22,0.9828926905132193
PA607193,Errante,Sophie,NI,NI,827,816,11,0.9866989117291415
PA607395,Travert,Stéphane,EPR,EPR,1666,1587,79,0.9525810324129652
PA607553,Potier,Dominique,SOC,SOC,2940,2482,458,0.8442176870748299
PA607619,Molac,Paul,LIOT,LIOT,1148,1015,133,0.8841463414634146
PA608172,Pirès Beaune,Christine,SOC,SOC,3095,3058,37,0.9880452342487883
PA608264,Capdevielle,Colette,SOC,SOC,2762,2727,35,0.9873280231716147
PA608416,Hetzel,Patrick,DR,DR,2560,2515,45,0.982421875
PA608826,Duby-Muller,Virginie,DR,DR,1305,1249,56,0.957088122605364
PA609332,Faure,Olivier,SOC,SOC,717,706,11,0.9846582984658299
PA610002,Sas,Eva,ECOS,EcoS,2160,2154,6,0.9972222222222222
PA610654,Nilor,Jean-Philippe,LFI-NFP,LFI-NFP,768,761,7,0.9908854166666666
PA610968,Amirshahi,Pouria,ECOS,EcoS,3658,3633,25,0.9931656642974303
PA642695,Bothorel,Éric,EPR,EPR,2049,1946,103,0.9497315763787213
PA642725,Liégeon,Eric,DR,DR,2311,2204,107,0.9536996971008221
PA642764,Aviragnet,Joël,SOC,SOC,697,684,13,0.9813486370157819
PA642847,Bazin,Thibault,DR,DR,2423,2360,63,0.9739991745769707
PA642935,Becht,Olivier,EPR,EPR,260,246,14,0.9461538461538461
PA642988,de Lépinau,Hervé,RN,RN,1979,1977,2,0.998989388580091
PA643089,Thiériot,Jean-Louis,DR,DR,949,930,19,0.9799789251844047
PA643104,Minard,Christelle,DR,DR,1609,1573,36,0.9776258545680547
PA643143,Baptiste,Christian,SOC,SOC,1217,1200,17,0.9860312243221035
PA643157,Naillet,Philippe,SOC,SOC,1655,1637,18,0.9891238670694864
PA643175,Dupont,Stella,NI,NI,1852,1735,117,0.9368250539956804
PA643184,Klinkert,Brigitte,EPR,EPR,2013,1976,37,0.9816194734227521
PA643192,Jourdan,Chantal,SOC,SOC,3396,3313,83,0.9755594817432274
PA687214,Berrios,Sylvain,HOR,HOR,1452,1384,68,0.953168044077135
PA712014,Ledoux,Vincent,EPR,EPR,571,547,24,0.957968476357268
PA712015,Dive,Julien,DR,DR,1010,976,34,0.9663366336633663
PA717161,Borne,Élisabeth,EPR,EPR,537,529,8,0.9851024208566108
PA717379,Maillard,Sylvain,EPR,EPR,1854,1819,35,0.9811218985976268
PA718674,Givernet,Olga,EPR,EPR,1958,1933,25,0.9872318692543411
PA718784,Pauget,Éric,DR,DR,642,634,8,0.9875389408099688
PA718820,Cestrières,Pauline,EPR,EPR,744,737,7,0.9905913978494624
PA718838,Brun,Fabrice,DR,DR,495,467,28,0.9434343434343434
PA718850,Cordier,Pierre,DR,DR,801,754,47,0.9413233458177278
PA718884,Bazin-Malgras,Valérie,DR,DR,3682,3625,57,0.9845192829983704
PA719024,Blanchet,Christophe,DEM,Dem,1670,1635,35,0.9790419161676647
PA719032,Bouyx,Bertrand,HOR,HOR,2224,2199,25,0.9887589928057554
PA719052,Kervran,Loïc,HOR,HOR,2025,1972,53,0.9738271604938271
PA719080,Marsaud,Sandra,EPR,EPR,1771,1730,41,0.9768492377188029
PA719118,Cormier-Bouligeon,François,EPR,EPR,2113,2084,29,0.9862754377662092
PA719138,Castellani,Michel,LIOT,LIOT,323,299,24,0.9256965944272446
PA719218,Berville,Hervé,EPR,EPR,1843,1786,57,0.9690721649484536
PA719272,Meunier,Frédérique,DR,DR,911,738,173,0.8100987925356751
PA719286,Colombani,Paul-André,LIOT,LIOT,698,646,52,0.9255014326647565
PA719338,Melchior,Graziella,EPR,EPR,2304,2271,33,0.9856770833333334
PA719372,Kasbarian,Guillaume,EPR,EPR,1658,1615,43,0.974065138721351
PA719388,Le Meur,Annaïg,EPR,EPR,1643,1632,11,0.9933049300060864
PA719404,Le Gac,Didier,EPR,EPR,1245,1224,21,0.983132530120482
PA719412,Le Feur,Sandrine,EPR,EPR,1993,1906,87,0.9563472152533868
PA719436,Meizonnet,Nicolas,RN,RN,1863,1856,7,0.9962426194310252
PA719472,Cazeneuve,Jean-René,EPR,EPR,1874,1839,35,0.9813233724653149
PA719512,Vignon,Corinne,EPR,EPR,2290,2247,43,0.9812227074235808
PA719528,Portarrieu,Jean-François,HOR,HOR,283,275,8,0.9717314487632509
PA719550,Tanguy,Liliana,EPR,EPR,3542,2963,579,0.8365330321852061
PA719558,Balanant,Erwan,DEM,Dem,1324,1277,47,0.9645015105740181
PA719578,Prud'homme,Loïc,LFI-NFP,LFI-NFP,1218,1211,7,0.9942528735632183
PA719632,Panonacle,Sophie,EPR,EPR,1125,1092,33,0.9706666666666667
PA719640,Mette,Sophie,DEM,Dem,3276,3184,92,0.9719169719169719
PA719756,Le Nabour,Christine,EPR,EPR,2156,2135,21,0.9902597402597403
PA719778,Jolivet,François,HOR,HOR,1483,1429,54,0.9635873229939312
PA719798,Labaronne,Daniel,EPR,EPR,2020,1959,61,0.9698019801980198
PA719822,Thillaye,Sabine,DEM,Dem,1797,1755,42,0.9766277128547579
PA719890,Brulebois,Danielle,EPR,EPR,2383,2208,175,0.9265631556861099
PA719914,Darrieussecq,Geneviève,DEM,Dem,2311,2255,56,0.975768065772393
PA719922,Causse,Lionel,EPR,EPR,787,731,56,0.928843710292249
PA719930,Vallaud,Boris,SOC,SOC,2236,2204,32,0.9856887298747764
PA719938,Fesneau,Marc,DEM,Dem,1744,1708,36,0.9793577981651376
PA719968,Bonnet,Sylvie,DR,DR,1179,1164,15,0.9872773536895675
PA720022,Lauzzana,Michel,EPR,EPR,2509,2427,82,0.9673176564368274
