acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA1008,-0.48046336531837885,0.12530113362057052,David,Alain,PO845419,SOC,Socialistes et apparentés,SOC,M.,ADA,4,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,#F5B4CE,,Alain David
PA1567,-0.5568216860558092,0.12048582131881562,Guedj,Jérôme,PO845419,SOC,Socialistes et apparentés,SOC,M.,JGD,6,Essonne,Inspecteur général des affaires sociales,https://www.hatvp.fr/pages_nominatives/guedj-jerome,#F5B4CE,,Jérôme Guedj
PA1592,-0.19157747715649873,0.16404296651884723,Habib,David,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,DHA,3,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,#FFD96F,,David Habib
PA1630,0.34724373240284834,0.26920083651582183,Herbillon,Michel,PO845425,DR,Droite Républicaine,DR,M.,MHR,8,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,#8CB0DC,,Michel Herbillon
PA1654,-0.4545187099576636,0.18165026930803052,Hollande,François,PO845419,SOC,Socialistes et apparentés,SOC,M.,FHL,1,Corrèze,Conseiller référendaire à la Cour des comptes,https://www.hatvp.fr/pages_nominatives/hollande-francois-27434,#F5B4CE,,François Hollande
PA227089,0.056433701657985405,0.26651288078451457,Létard,Valérie,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,Mme,VLET,21,Nord,Cadre de la fonction publique territoriale,https://www.hatvp.fr/pages_nominatives/letard-valerie,#FFD96F,,Valérie Létard
PA266793,0.30534636627121997,0.28731184381222075,Bony,Jean-Yves,PO845425,DR,Droite Républicaine,DR,M.,JBY,2,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013,#8CB0DC,,Jean-Yves Bony
PA266797,0.38575911553362113,0.28751832375108005,Gosselin,Philippe,PO845425,DR,Droite Républicaine,DR,M.,PGS,1,Manche,Maître de conférences à Sciences Po,https://www.hatvp.fr/pages_nominatives/gosselin-philippe,#8CB0DC,,Philippe Gosselin
PA266808,0.41748146756939886,0.31035257806592115,Rolland,Vincent,PO845425,DR,Droite Républicaine,DR,M.,VRO,2,Savoie,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/rolland-vincent-7763,#8CB0DC,,Vincent Rolland
PA267042,-0.0028202788615302003,0.23863874874432672,Favennec-Bécot,Yannick,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,YFA,3,Mayenne,Directeur de cabinet,https://www.hatvp.fr/pages_nominatives/favennec-becot-yannick,#FFD96F,,Yannick Favennec-Bécot
