acteur_id,dim1,dim2,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,full_name
PA1008,0.1253011336205705,0.4804633653183788,David,Alain,M.,ADA,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,4,Gironde,Ingénieur,https://www.hatvp.fr/pages_nominatives/david-alain,Alain David
PA1567,0.1204858213188156,0.5568216860558091,Guedj,Jérôme,M.,JGD,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,6,Essonne,Inspecteur général des affaires sociales,https://www.hatvp.fr/pages_nominatives/guedj-jerome,Jérôme Guedj
PA1592,0.1640429665188472,0.1915774771564987,Habib,David,M.,DHA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Pyrénées-Atlantiques,Cadre,https://www.hatvp.fr/pages_nominatives/habib-david,David Habib
PA1630,0.2692008365158218,-0.3472437324028483,Herbillon,Michel,M.,MHR,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,8,Val-de-Marne,Cadre supérieur,https://www.hatvp.fr/pages_nominatives/herbillon-michel,Michel Herbillon
PA1654,0.1816502693080305,0.4545187099576635,Hollande,François,M.,FHL,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,1,Corrèze,Conseiller référendaire à la Cour des comptes,https://www.hatvp.fr/pages_nominatives/hollande-francois-27434,François Hollande
PA227089,0.2665128807845145,-0.0564337016579854,Létard,Valérie,Mme,VLET,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,21,Nord,Cadre de la fonction publique territoriale,https://www.hatvp.fr/pages_nominatives/letard-valerie,Valérie Létard
PA266793,0.2873118438122207,-0.3053463662712199,Bony,Jean-Yves,M.,JBY,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Cantal,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/bony-jean-yves-1013,Jean-Yves Bony
PA266797,0.28751832375108,-0.3857591155336211,Gosselin,Philippe,M.,PGS,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Manche,Maître de conférences à Sciences Po,https://www.hatvp.fr/pages_nominatives/gosselin-philippe,Philippe Gosselin
PA266808,0.3103525780659211,-0.4174814675693988,Rolland,Vincent,M.,VRO,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,2,Savoie,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/rolland-vincent-7763,Vincent Rolland
PA267042,0.2386387487443267,0.0028202788615302,Favennec-Bécot,Yannick,M.,YFA,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#FFD96F,,3,Mayenne,Directeur de cabinet,https://www.hatvp.fr/pages_nominatives/favennec-becot-yannick,Yannick Favennec-Bécot
PA267200,0.4431928583767521,-0.2850395122303542,Huyghe,Sébastien,M.,SHY,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Nord,Notaire,https://www.hatvp.fr/pages_nominatives/huyghe-sebastien,Sébastien Huyghe
PA267285,0.2504080179011344,-0.3591069203814347,Wauquiez,Laurent,M.,LWA,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,1,Haute-Loire,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/wauquiez-laurent,Laurent Wauquiez
