acteur_id,groupe_code,groupe_libelle_court,nom,prenom,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share
PA1008,SOC,SOC,David,Alain,474,257,207,10,0,0.02109704641350211,0.0,0.9789029535864979
PA1567,SOC,SOC,Guedj,Jérôme,1913,925,892,96,0,0.0501829587036069,0.0,0.9498170412963931
PA1592,LIOT,LIOT,Habib,David,344,216,106,22,0,0.06395348837209303,0.0,0.936046511627907
PA1630,DR,DR,Herbillon,Michel,570,231,313,26,0,0.0456140350877193,0.0,0.9543859649122807
PA1654,SOC,SOC,Hollande,François,821,392,379,50,0,0.06090133982947625,0.0,0.9390986601705238
PA227089,LIOT,LIOT,Létard,Valérie,165,62,89,9,5,0.05454545454545454,0.030303030303030304,0.9151515151515152
PA266793,DR,DR,Bony,Jean-Yves,1262,472,726,64,0,0.05071315372424723,0.0,0.9492868462757528
PA266797,DR,DR,Gosselin,Philippe,1356,635,624,97,0,0.0715339233038348,0.0,0.9284660766961652
PA266808,DR,DR,Rolland,Vincent,1084,450,591,43,0,0.03966789667896679,0.0,0.9603321033210332
PA267042,LIOT,LIOT,Favennec-Bécot,Yannick,786,345,423,18,0,0.022900763358778626,0.0,0.9770992366412213
PA267200,EPR,EPR,Huyghe,Sébastien,2718,1053,1620,45,0,0.016556291390728478,0.0,0.9834437086092715
PA267285,DR,DR,Wauquiez,Laurent,664,233,406,25,0,0.03765060240963856,0.0,0.9623493975903614
PA267318,DEM,Dem,Grelier,Jean-Carles,523,198,320,5,0,0.009560229445506692,0.0,0.9904397705544933
PA267763,LIOT,LIOT,Bataille,Jean-Pierre,1133,467,578,88,0,0.07766990291262135,0.0,0.9223300970873787
PA267780,HOR,HOR,Firmin Le Bodo,Agnès,2163,610,1426,127,0,0.058714748035136384,0.0,0.9412852519648636
PA267794,DR,DR,Tabarot,Michèle,600,176,402,22,0,0.03666666666666667,0.0,0.9633333333333334
PA2940,ECOS,EcoS,Voynet,Dominique,2710,1261,1212,237,0,0.08745387453874538,0.0,0.9125461254612546
PA2952,LIOT,LIOT,Warsmann,Jean-Luc,1263,421,636,206,0,0.16310372129849565,0.0,0.8368962787015044
PA309643,NI,NI,Besse,Véronique,443,296,128,19,0,0.04288939051918736,0.0,0.9571106094808126
PA330008,DR,DR,Breton,Xavier,1402,397,412,159,434,0.11340941512125535,0.3095577746077033,0.5770328102710414
PA330240,UDDPLR,UDR,Ciotti,Éric,196,93,90,13,0,0.0663265306122449,0.0,0.9336734693877551
PA330240,UDR,UDR,Ciotti,Éric,197,88,100,9,0,0.04568527918781726,0.0,0.9543147208121827
PA330909,DR,DR,Descoeur,Vincent,1839,639,1059,141,0,0.0766721044045677,0.0,0.9233278955954323
PA331582,DEM,Dem,Vigier,Philippe,1891,534,1339,18,0,0.009518773135906928,0.0,0.9904812268640931
PA331973,SOC,SOC,Got,Pascale,2080,916,1019,145,0,0.06971153846153846,0.0,0.9302884615384616
PA332228,HOR,HOR,Benoit,Thierry,2656,919,1424,313,0,0.11784638554216867,0.0,0.8821536144578314
PA332523,DR,DR,Dalloz,Marie-Christine,1450,530,868,52,0,0.03586206896551724,0.0,0.9641379310344828
PA333285,SOC,SOC,Garot,Guillaume,2329,1000,1162,167,0,0.07170459424645771,0.0,0.9282954057535423
PA335054,SOC,SOC,Karamanli,Marietta,2133,991,1036,106,0,0.049695264885138306,0.0,0.9503047351148617
PA335612,GDR,GDR,Lecoq,Jean-Paul,1516,802,653,61,0,0.040237467018469655,0.0,0.9597625329815304
PA335999,ECOS,EcoS,Batho,Delphine,1002,477,446,79,0,0.07884231536926148,0.0,0.9211576846307385
PA340343,SOC,SOC,Saulignac,Hervé,1221,575,569,77,0,0.06306306306306306,0.0,0.9369369369369369
PA341981,SOC,SOC,Récalde,Marie,1103,541,472,90,0,0.0815956482320943,0.0,0.9184043517679057
PA342196,SOC,SOC,Rouaux,Claudia,2627,1113,1415,99,0,0.037685572896840505,0.0,0.9623144271031595
PA342240,DR,DR,Bourgeaux,Jean-Luc,1461,538,818,105,0,0.07186858316221766,0.0,0.9281314168377823
PA342384,LFI-NFP,LFI-NFP,Martin,Élisa,2614,1350,1144,120,0,0.045906656465187455,0.0,0.9540933435348126
PA342415,SOC,SOC,Battistel,Marie-Noëlle,3039,1306,1556,177,0,0.05824284304047384,0.0,0.9417571569595261
PA345722,EPR,EPR,Le Grip,Constance,1907,506,1368,33,0,0.0173046670162559,0.0,0.9826953329837441
PA346782,DR,DR,Juvin,Philippe,2216,956,1115,145,0,0.06543321299638989,0.0,0.9345667870036101
PA368,DR,DR,Barnier,Michel,485,159,288,38,0,0.07835051546391752,0.0,0.9216494845360824
PA569,NI,NI,Bonnecarrère,Philippe,2227,723,1396,108,0,0.048495734171531205,0.0,0.9515042658284688
PA588884,ECOS,EcoS,Autain,Clémentine,866,448,380,38,0,0.04387990762124711,0.0,0.9561200923787528
PA605745,GDR,GDR,Sansu,Nicolas,2174,1007,1042,125,0,0.05749770009199632,0.0,0.9425022999080037
PA605782,HOR,HOR,Marcangeli,Laurent,830,243,482,18,87,0.021686746987951807,0.10481927710843374,0.8734939759036144
PA606507,EPR,EPR,Boudié,Florent,1319,463,840,16,0,0.012130401819560273,0.0,0.9878695981804397
PA606545,ECOS,EcoS,Roumégas,Jean-Louis,1363,738,545,80,0,0.058694057226705794,0.0,0.9413059427732942
PA606573,SOC,SOC,Dombre Coste,Fanny,1655,665,903,87,0,0.05256797583081571,0.0,0.9474320241691843
PA606793,SOC,SOC,Baumel,Laurent,1660,800,813,47,0,0.028313253012048192,0.0,0.9716867469879518
PA607090,DR,DR,Vigier,Jean-Pierre,1400,550,742,108,0,0.07714285714285714,0.0,0.9228571428571428
PA607193,NI,NI,Errante,Sophie,900,222,654,24,0,0.02666666666666667,0.0,0.9733333333333334
PA607395,EPR,EPR,Travert,Stéphane,1711,524,1147,40,0,0.023378141437755698,0.0,0.9766218585622443
PA607553,SOC,SOC,Potier,Dominique,3218,1731,1212,275,0,0.08545680546923555,0.0,0.9145431945307645
PA607619,LIOT,LIOT,Molac,Paul,1338,641,579,118,0,0.08819133034379671,0.0,0.9118086696562033
PA608172,SOC,SOC,Pirès Beaune,Christine,3233,1519,1579,135,0,0.041756882152799255,0.0,0.9582431178472007
PA608264,SOC,SOC,Capdevielle,Colette,2939,1387,1382,170,0,0.05784280367471929,0.0,0.9421571963252807
PA608416,DR,DR,Hetzel,Patrick,2703,1369,1199,130,5,0.048094709581945984,0.001849796522382538,0.9500554938956715
PA608826,DR,DR,Duby-Muller,Virginie,1390,513,795,82,0,0.058992805755395686,0.0,0.9410071942446043
PA609332,SOC,SOC,Faure,Olivier,760,407,311,42,0,0.05526315789473684,0.0,0.9447368421052632
PA610002,ECOS,EcoS,Sas,Eva,2300,1130,1034,136,0,0.059130434782608696,0.0,0.9408695652173913
PA610654,LFI-NFP,LFI-NFP,Nilor,Jean-Philippe,837,328,440,69,0,0.08243727598566308,0.0,0.9175627240143369
PA610968,ECOS,EcoS,Amirshahi,Pouria,3862,1944,1722,196,0,0.050750906266183324,0.0,0.9492490937338167
PA642695,EPR,EPR,Bothorel,Éric,2076,553,1497,26,0,0.012524084778420038,0.0,0.98747591522158
PA642725,DR,DR,Liégeon,Eric,2470,882,1443,145,0,0.058704453441295545,0.0,0.9412955465587044
PA642764,SOC,SOC,Aviragnet,Joël,737,348,351,38,0,0.051560379918588875,0.0,0.9484396200814111
PA642847,DR,DR,Bazin,Thibault,2691,1313,1117,261,0,0.09698996655518395,0.0,0.903010033444816
PA642935,EPR,EPR,Becht,Olivier,264,124,136,4,0,0.015151515151515152,0.0,0.9848484848484849
PA642988,RN,RN,de Lépinau,Hervé,2125,1119,860,146,0,0.06870588235294117,0.0,0.9312941176470588
PA643089,DR,DR,Thiériot,Jean-Louis,1162,393,562,30,177,0.025817555938037865,0.1523235800344234,0.8218588640275387
PA643104,DR,DR,Minard,Christelle,1666,757,854,55,0,0.033013205282112844,0.0,0.9669867947178872
PA643143,SOC,SOC,Baptiste,Christian,1291,678,540,73,0,0.056545313710302095,0.0,0.9434546862896979
PA643157,SOC,SOC,Naillet,Philippe,1728,931,726,71,0,0.041087962962962965,0.0,0.9589120370370371
PA643175,NI,NI,Dupont,Stella,2186,807,1258,121,0,0.05535224153705398,0.0,0.944647758462946
PA643184,EPR,EPR,Klinkert,Brigitte,2044,641,1375,28,0,0.0136986301369863,0.0,0.9863013698630136
PA643192,SOC,SOC,Jourdan,Chantal,3539,1801,1603,135,0,0.03814636903079966,0.0,0.9618536309692003
PA687214,HOR,HOR,Berrios,Sylvain,1609,512,979,118,0,0.07333747669359851,0.0,0.9266625233064015
PA712014,EPR,EPR,Ledoux,Vincent,585,239,335,11,0,0.018803418803418803,0.0,0.9811965811965812
PA712015,DR,DR,Dive,Julien,1114,432,581,101,0,0.09066427289048475,0.0,0.9093357271095153
PA717161,EPR,EPR,Borne,Élisabeth,636,203,334,12,87,0.018867924528301886,0.13679245283018868,0.8443396226415094
PA717379,EPR,EPR,Maillard,Sylvain,1889,580,1276,33,0,0.017469560614081524,0.0,0.9825304393859184
PA718674,EPR,EPR,Givernet,Olga,1978,552,1409,12,5,0.006066734074823054,0.0025278058645096056,0.9914054600606673
PA718784,DR,DR,Pauget,Éric,677,283,361,33,0,0.04874446085672083,0.0,0.9512555391432792
PA718820,EPR,EPR,Cestrières,Pauline,759,178,566,15,0,0.019762845849802372,0.0,0.9802371541501976
PA718838,DR,DR,Brun,Fabrice,550,273,227,50,0,0.09090909090909091,0.0,0.9090909090909091
PA718850,DR,DR,Cordier,Pierre,879,373,429,77,0,0.0875995449374289,0.0,0.9124004550625711
PA718884,DR,DR,Bazin-Malgras,Valérie,3845,1670,2028,147,0,0.03823146944083225,0.0,0.9617685305591678
PA719024,DEM,Dem,Blanchet,Christophe,2607,618,1070,57,862,0.02186421173762946,0.3306482546988876,0.6474875335634829
PA719032,HOR,HOR,Bouyx,Bertrand,2383,585,1661,137,0,0.057490558120016785,0.0,0.9425094418799832
PA719052,HOR,HOR,Kervran,Loïc,2178,539,1496,143,0,0.06565656565656566,0.0,0.9343434343434344
PA719080,EPR,EPR,Marsaud,Sandra,1787,479,1295,13,0,0.007274762171236709,0.0,0.9927252378287633
PA719118,EPR,EPR,Cormier-Bouligeon,François,2147,625,1492,30,0,0.013972985561248253,0.0,0.9860270144387517
PA719138,LIOT,LIOT,Castellani,Michel,369,197,136,36,0,0.0975609756097561,0.0,0.9024390243902439
PA719218,EPR,EPR,Berville,Hervé,1877,569,1281,27,0,0.014384656366542355,0.0,0.9856153436334576
PA719272,DR,DR,Meunier,Frédérique,937,327,588,22,0,0.023479188900747065,0.0,0.9765208110992529
PA719286,LIOT,LIOT,Colombani,Paul-André,765,373,362,30,0,0.0392156862745098,0.0,0.9607843137254902
PA719338,EPR,EPR,Melchior,Graziella,2336,647,1659,30,0,0.012842465753424657,0.0,0.9871575342465754
PA719372,EPR,EPR,Kasbarian,Guillaume,1670,488,1171,6,5,0.003592814371257485,0.0029940119760479044,0.9934131736526947
