acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name,dim1_raw,dim2_raw,group_members,group_dim1_mean,group_dim2_mean,distance_to_group_center,distance_to_group_label,close_to_group,far_from_group,rank_left_to_right,percentile_left_to_right,ideal_rank_left_to_right,total_public_votes,yes_votes,no_votes,abstentions,non_voting,abstention_rate,non_voting_rate,yes_no_share,yes_no_votes_with_group_majority,votes_with_group,votes_against_group,group_loyalty_rate,groupe_couleur_dep,position_politique_dep,departement_dep,date_naissance,rank_abstention_in_group,rank_most_loyal_in_group,dim1_sen_space,dim2_sen_space
PA1001,0.5303938476320595,0.084703247107552,Daubresse,Marc-Philippe,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",4,Nord,Ancien directeur d'une société de recrutement,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Marc-Philippe Daubresse,0.5303938476320595,0.0894318165688273,199,0.4616419344258717,0.2097077253158779,0.1426637485195416,intermédiaire,False,False,137.0,0.6884422110552764,557.0,27,10,15,2,0,0.074074074074074,0.0,0.925925925925926,25,25,0,1.0,,Opposition,Nord,1953-08-01,153.5,36.5,0.39715785235995543,-0.10402357500336112
PA1012,0.5036006814829241,0.1619286920538078,de la Verpillière,Charles,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Ain,Conseiller d'État,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Charles de la Verpillière,0.5036006814829241,0.1709683817268336,199,0.4616419344258717,0.2097077253158779,0.0635875182253223,proche,True,False,130.0,0.6532663316582915,549.0,55,27,25,3,0,0.0545454545454545,0.0,0.9454545454545454,52,50,2,0.9615384615384616,,Opposition,Ain,1954-05-31,104.5,147.0,0.4259820103876844,-0.010480410570627069
PA1020,0.2755715908537269,0.2316540524670299,Debré,Bernard,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",15,Paris,"Chirurgien des hôpitaux, professeur des Universités","{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Bernard Debré,0.2755715908537269,0.2445861691860665,199,0.4616419344258717,0.2097077253158779,0.1873601185751157,intermédiaire,False,False,12.0,0.0603015075376884,426.0,67,30,33,4,0,0.0597014925373134,0.0,0.9402985074626866,63,57,6,0.9047619047619048,,Opposition,Paris,1944-09-30,121.0,185.0,0.2623145622650694,0.2083705606085339
PA1029,0.6103514758307994,0.2695584641628515,Deflesselles,Bernard,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",9,Bouches-du-Rhône,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Bernard Deflesselles,0.6103514758307994,0.2846065994492151,199,0.4616419344258717,0.2097077253158779,0.1603017112990143,intermédiaire,False,False,164.0,0.8241206030150754,584.0,38,14,21,3,0,0.0789473684210526,0.0,0.9210526315789472,35,34,1,0.9714285714285714,,Opposition,Bouches-du-Rhône,1953-10-16,160.0,119.5,0.6002474919278198,0.024889643512791576
PA1031,0.3486434013491253,0.1368590584247706,Degauchy,Lucien,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Oise,Horticulteur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Lucien Degauchy,0.3486434013491253,0.1444992326360915,199,0.4616419344258717,0.2097077253158779,0.1344455158988505,intermédiaire,False,False,49.0,0.2462311557788944,465.0,32,14,16,2,0,0.0625,0.0,0.9375,30,29,1,0.9666666666666668,,Opposition,Oise,1937-06-11,129.0,136.0,0.26432696749815665,0.06705235739755873
PA1032,-0.227311809008092,-0.2729568537350583,Deguilhem,Pascal,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Dordogne,Professeur d'Education physique (Université Bordeaux IV),"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Pascal Deguilhem,-0.227311809008092,-0.2881947045482452,316,-0.3421714223457844,-0.2915641736600459,0.1163570501984088,intermédiaire,False,False,253.0,0.8006329113924051,289.0,14,11,3,0,0,0.0,0.0,1.0,14,14,0,1.0,,Majoritaire,Dordogne,1956-02-09,109.5,94.0,-0.5569382705432866,0.04411982233339361
PA1116,-0.3865484878389445,-0.2141120043733736,Destot,Michel,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",3,Isère,Ingénieur,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Michel Destot,-0.3865484878389445,-0.2260648340433723,316,-0.3421714223457844,-0.2915641736600459,0.0892645644642685,proche,True,False,94.0,0.2974683544303797,112.0,14,10,4,0,0,0.0,0.0,1.0,14,14,0,1.0,,Majoritaire,Isère,1946-09-02,109.5,94.0,-0.6641614321301541,0.2069245203846468
PA1124,0.3317453090750449,0.4628279147031752,Devedjian,Patrick,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",13,Hauts-de-Seine,Avocat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Patrick Devedjian,0.3317453090750449,0.4886653414609981,199,0.4616419344258717,0.2097077253158779,0.2845047689459604,éloigné,False,True,37.0,0.185929648241206,452.0,48,19,27,2,0,0.0416666666666666,0.0,0.9583333333333334,46,39,7,0.8478260869565217,,Opposition,Hauts-de-Seine,1944-08-26,72.0,197.0,0.47551403171585976,0.39847532131022473
PA1141,-0.1787540240199625,0.3466805404683072,Dolez,Marc,PO656018,GDR,Gauche démocrate et républicaine,GDR,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",17,Nord,Maître de conférences,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Minoritaire,Marc Dolez,-0.1787540240199625,0.3660340253990011,15,-0.2407486590036925,0.3959014098790215,0.0791582513217195,proche,True,False,10.0,0.6666666666666666,337.0,229,114,92,23,0,0.1004366812227074,0.0,0.8995633187772926,206,199,7,0.9660194174757282,,Minoritaire,Nord,1952-10-21,1.0,9.0,-0.0804101276774609,0.6209320855973255
PA1152,0.3409634631099145,0.1983912150534875,Dord,Dominique,PO656006,UMP,Union pour un Mouvement Populaire,UMP,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Savoie,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}","{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Opposition,Dominique Dord,0.3409634631099145,0.2094664296753787,199,0.4616419344258717,0.2097077253158779,0.1212079075129799,intermédiaire,False,False,44.0,0.2211055276381909,460.0,44,20,20,4,0,0.0909090909090909,0.0,0.9090909090909092,40,39,1,0.975,,Opposition,Savoie,1959-09-01,174.5,111.5,0.30001357937301065,0.1325744653894089
PA1155,-0.1832749416107015,-0.4107884900935504,Dosière,René,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",1,Aisne,Consultant international,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,René Dosière,-0.1832749416107015,-0.4337208094039699,316,-0.3421714223457844,-0.2915641736600459,0.1986517787965439,intermédiaire,False,False,290.0,0.9177215189873418,329.0,26,15,11,0,0,0.0,0.0,1.0,26,25,1,0.9615384615384616,,Majoritaire,Aisne,1941-08-03,109.5,226.5,-0.6119043978024064,-0.1203411329995775
PA1182,-0.3723811982890377,-0.1776638618888514,Dufau,Jean-Pierre,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Landes,Enseignant retraité,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Jean-Pierre Dufau,-0.3723811982890377,-0.1875819694040585,316,-0.3421714223457844,-0.2915641736600459,0.1178384978863735,intermédiaire,False,False,108.0,0.3417721518987341,127.0,27,16,11,0,0,0.0,0.0,1.0,27,27,0,1.0,,Majoritaire,Landes,1943-07-05,109.5,94.0,-0.6256051432602778,0.23339612467677673
PA1193,-0.170038996173266,-0.3017761487265541,Dumas,William,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",5,Gard,Retraité,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,William Dumas,-0.170038996173266,-0.3186228403202986,316,-0.3421714223457844,-0.2915641736600459,0.172435079304637,intermédiaire,False,False,302.0,0.9556962025316456,342.0,29,13,16,0,0,0.0,0.0,1.0,29,29,0,1.0,,Majoritaire,Gard,1942-01-23,109.5,94.0,-0.523701645484639,-0.021957269861287154
PA1198,-0.5351422368379328,-0.1897028409327167,Dumont,Laurence,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,Mme,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Calvados,Chargée d'études,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Laurence Dumont,-0.5351422368379328,-0.2002930259726434,316,-0.3421714223457844,-0.2915641736600459,0.2182051015690302,intermédiaire,False,False,29.0,0.0917721518987341,36.0,22,12,5,2,3,0.0909090909090909,0.1363636363636363,0.7727272727272727,17,17,0,1.0,,Majoritaire,Calvados,1958-06-02,294.0,94.0,-0.7854515232474475,0.3288773120855075
PA1199,-0.1080170184459113,-0.2587499682512957,Dumont,Jean-Louis,PO656002,SRC,"Socialiste, républicain et citoyen",SRC,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",2,Meuse,Enseignant,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,Majoritaire,Jean-Louis Dumont,-0.1080170184459113,-0.2731947178891161,316,-0.3421714223457844,-0.2915641736600459,0.2364425024024076,intermédiaire,False,False,316.0,1.0,362.0,30,11,19,0,0,0.0,0.0,1.0,30,30,0,1.0,,Majoritaire,Meuse,1944-04-06,109.5,94.0,-0.43603257627897074,-0.020573509070545504
PA1206,0.0989040480679713,0.3425873883911463,Dupont-Aignan,Nicolas,PO645633,NI,Non inscrit,NI,M.,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",8,Essonne,Administrateur de l'Etat,"{'@xmlns:xsi': 'http://www.w3.org/2001/XMLSchema-instance', '@xsi:nil': 'true'}",,,Nicolas Dupont-Aignan,0.0989040480679713,0.3617123725904828,8,0.0715587072873585,0.3020217317389552,0.0489217759492774,proche,True,False,3.0,0.375,384.0,130,36,80,14,0,0.1076923076923077,0.0,0.8923076923076924,113,96,17,0.8495575221238938,,,Essonne,1961-03-07,5.0,7.0,0.175129876402439,0.43384734656854135
