matricule,acteur_id,prenom,nom,date_naissance,groupe_senat,legislature,has_assemblee_mandat,n_yes_no_votes,eligible_bridge
21032X,PA337633,Annick,Girardin,1964-08-03,RDSE,14,True,62,True
18045D,PA608083,Brigitte,Bourguignon,1959-03-21,UC,14,True,266,True
18083K,PA607489,Guillaume,Chevrollier,1974-10-27,UMP,14,True,273,True
12028B,PA590034,Marie-Arlette,Carlotti,1952-01-21,SOC,14,True,132,True
17367Q,PA267075,Étienne,Blanc,1954-08-29,UMP,14,True,132,True
18395Y,PA712422,Karine,Daniel,1974-06-22,SOC,14,True,31,True
17965H,PA606375,Émilienne,Poumirol,1950-07-25,SOC,14,True,129,True
17023S,PA267673,Philippe,Folliot,1963-07-14,UC,14,True,123,True
18207D,PA607761,Audrey,Linkenheld,1973-10-11,SOC,14,True,208,True
14257W,PA643211,Franck,Montaugé,1961-09-14,SOC,14,True,29,True
11115U,PA267743,Édouard,Courtial,1973-06-28,UC,14,True,141,True
17737W,PA330684,Valérie,Boyer,1962-06-11,UMP,14,True,165,True
18193Q,PA605888,Annie,Le Houerou,1960-03-31,SOC,14,True,278,True
12016W,PA268048,Victorin,Lurel,1951-08-20,SOC,14,True,76,True
17229F,PA267241,Stéphane,Demilly,1963-06-26,UC,14,True,103,True
14111D,PA267512,Alain,Marc,1957-01-29,RTLI,14,True,65,True
04008A,PA1001,Marc-Philippe,Daubresse,1953-08-01,UMP,14,True,120,True
