matricule,acteur_id,prenom,nom,date_naissance,groupe_senat,legislature,has_assemblee_mandat,n_yes_no_votes,eligible_bridge,an_dim1,an_dim2,groupe_an,nom_an,prenom_an,sen_dim1,sen_dim2,groupe_senat_points,nom_sen,prenom_sen,an_dim1_aligned,an_dim2_aligned,residual_dim1,residual_dim2,residual_norm
21032X,PA337633,Annick,Girardin,1964-08-03,RDSE,14,True,62,True,0.0888985704052124,-0.375453833891697,RRDP,Girardin,Annick,-0.4471729736651437,0.3524809435081266,RDSE,Girardin,Annick,-0.3202029735915559,-0.24556470300158445,-0.12697000007358777,0.598045646509711,0.6113754789226544
18045D,PA608083,Brigitte,Bourguignon,1959-03-21,UC,14,True,266,True,-0.2749712472984816,-0.3671478263827455,SRC,Bourguignon,Brigitte,0.0930498945519259,0.19747229219949,UC,Bourguignon,Brigitte,-0.6533449216201344,0.0020682317296044916,0.7463948161720603,0.1954040604698855,0.7715490706731766
18083K,PA607489,Guillaume,Chevrollier,1974-10-27,UMP,14,True,273,True,0.8699031486386887,0.274058330839573,UMP,Chevrollier,Guillaume,0.712360926914339,-0.0070077787631749,UMP,Chevrollier,Guillaume,0.8348323584410953,-0.15605185352453682,-0.12247143152675621,0.14904407476136192,0.19290771825327097
12028B,PA590034,Marie-Arlette,Carlotti,1952-01-21,SOC,14,True,132,True,-0.221531671284338,-0.2138419883933146,SRC,Carlotti,Marie-Arlette,-0.8382521492392299,0.1181341147376331,SOC,Carlotti,Marie-Arlette,-0.5025377021092694,0.109501743574971,-0.33571444712996046,0.008632371162662106,0.3358254127424918
17367Q,PA267075,Étienne,Blanc,1954-08-29,UMP,14,True,132,True,0.3869859213487143,0.3904017597468255,UMP,Blanc,Étienne,0.6984385818808562,-0.1199437745664898,UMP,Blanc,Étienne,0.46213483570895214,0.2706102404351035,0.23630374617190403,-0.3905540150015933,0.45647770930105713
18395Y,PA712422,Karine,Daniel,1974-06-22,SOC,14,True,31,True,-0.6154800248735315,-0.3433140455729407,SER,Daniel,Karine,-0.9248633269531829,0.0940556724034831,SOC,Daniel,Karine,-0.9545093951064467,0.248749163522057,0.02964606815326387,-0.1546934911185739,0.15750862056217832
17965H,PA606375,Émilienne,Poumirol,1950-07-25,SOC,14,True,129,True,-0.312427438184782,-0.4426379989846564,SRC,Poumirol,Émilienne,-0.8313323445080127,0.0736289995077515,SOC,Poumirol,Émilienne,-0.7379732441558262,-0.04348784179045312,-0.09335910035218653,0.11711684129820461,0.1497740836534762
17023S,PA267673,Philippe,Folliot,1963-07-14,UC,14,True,123,True,0.1472226161307137,0.0851130827242601,UDI,Folliot,Philippe,0.2169286977715541,0.1533370225903469,UC,Folliot,Philippe,0.03773032915955565,0.14458637571886193,0.17919836861199845,0.008750646871484968,0.17941189797187673
18207D,PA607761,Audrey,Linkenheld,1973-10-11,SOC,14,True,208,True,-0.3955447189351761,-0.1653764238218937,SRC,Linkenheld,Audrey,-0.8605420408023812,0.118008552453209,SOC,Linkenheld,Audrey,-0.6325208166334384,0.2693326245935431,-0.22802122416894277,-0.1513240721403341,0.27366522154018086
14257W,PA643211,Franck,Montaugé,1961-09-14,SOC,14,True,29,True,-0.3364413863313023,-0.1477688150541604,SRC,Montaugé,Franck,-0.8037900209243567,0.0781547835868496,SOC,Montaugé,Franck,-0.5659102144384689,0.24675083831093636,-0.2378798064858878,-0.16859605472408676,0.2915671998052776
11115U,PA267743,Édouard,Courtial,1973-06-28,UC,14,True,141,True,0.6537367730329519,0.105526612986789,UMP,Courtial,Édouard,0.3904923512409837,0.0802967019345249,UC,Courtial,Édouard,0.5225525713552828,-0.1703670531141228,-0.13206022011429908,0.2506637550486477,0.2833235250234713
17737W,PA330684,Valérie,Boyer,1962-06-11,UMP,14,True,165,True,0.3603100586289283,0.2396125102197497,UMP,Boyer,Valérie,0.7740920235922456,-0.1096942558471121,UMP,Boyer,Valérie,0.33789321095954933,0.1478730639708243,0.4361988126326963,-0.2575673198179364,0.5065672002610998
18193Q,PA605888,Annie,Le Houerou,1960-03-31,SOC,14,True,278,True,-0.2745051584667248,-0.2074649616632823,SRC,Le Houerou,Annie,-0.8851036249920009,0.085186840379053,SOC,Le Houerou,Annie,-0.5476305223726823,0.15036221942183622,-0.3374731026193186,-0.06517537904278323,0.34370907032675124
12016W,PA268048,Victorin,Lurel,1951-08-20,SOC,14,True,76,True,-0.2086920029451516,-0.2522284812282631,SRC,Lurel,Victorin,-0.7859572416826816,0.0891141764305419,SOC,Lurel,Victorin,-0.5158977074326653,0.0653138409925794,-0.2700595342500163,0.02380033543796249,0.2711062669992991
17229F,PA267241,Stéphane,Demilly,1963-06-26,UC,14,True,103,True,0.1923542402473614,0.071573172958202,UDI,Demilly,Stéphane,0.2209612076593001,0.1558601278278231,UC,Demilly,Stéphane,0.07080292448401829,0.1022303283914329,0.15015828317528182,0.05362979943639021,0.15944800216288557
14111D,PA267512,Alain,Marc,1957-01-29,RTLI,14,True,65,True,0.22606526552224,0.5085554247829384,UMP,Marc,Alain,0.1201502170261196,0.2554647694038258,RTLI,Marc,Alain,0.39028166007370285,0.4866610903730694,-0.27013144304758324,-0.23119632096924364,0.35555974934275564
04008A,PA1001,Marc-Philippe,Daubresse,1953-08-01,UMP,14,True,120,True,0.5303938476320595,0.0894318165688273,UMP,Daubresse,Marc-Philippe,0.773398067211289,-0.0900044531851208,UMP,Daubresse,Marc-Philippe,0.39715785235995543,-0.10402357500336112,0.3762402148513336,0.014019121818240318,0.3765013081623121
