matricule,acteur_id,prenom,nom,date_naissance,groupe_senat,legislature,has_assemblee_mandat,n_yes_no_votes,eligible_bridge
21032X,PA337633,Annick,Girardin,1964-08-03,RDSE,13,True,0,False
21032X,PA337633,Annick,Girardin,1964-08-03,RDSE,14,True,62,True
21032X,PA337633,Annick,Girardin,1964-08-03,RDSE,15,True,0,False
21032X,PA337633,Annick,Girardin,1964-08-03,RDSE,16,False,1,False
18045D,PA608083,Brigitte,Bourguignon,1959-03-21,UC,14,True,266,True
18045D,PA608083,Brigitte,Bourguignon,1959-03-21,UC,15,True,922,True
18083K,PA607489,Guillaume,Chevrollier,1974-10-27,UMP,14,True,273,True
18083K,PA607489,Guillaume,Chevrollier,1974-10-27,UMP,16,False,1,False
12028B,PA590034,Marie-Arlette,Carlotti,1952-01-21,SOC,14,True,132,True
12028B,PA590034,Marie-Arlette,Carlotti,1952-01-21,SOC,16,False,1,False
17367Q,PA267075,Étienne,Blanc,1954-08-29,UMP,12,True,0,False
17367Q,PA267075,Étienne,Blanc,1954-08-29,UMP,13,True,0,False
17367Q,PA267075,Étienne,Blanc,1954-08-29,UMP,14,True,132,True
17367Q,PA267075,Étienne,Blanc,1954-08-29,UMP,16,False,1,False
95041E,PA1744,Alain,Joyandet,1954-01-15,UMP,12,True,0,False
95041E,PA1744,Alain,Joyandet,1954-01-15,UMP,13,True,0,False
95041E,PA1744,Alain,Joyandet,1954-01-15,UMP,16,False,1,False
18395Y,PA712422,Karine,Daniel,1974-06-22,SOC,14,True,31,True
18395Y,PA712422,Karine,Daniel,1974-06-22,SOC,16,False,1,False
18231D,PA610850,Corinne,Narassiguin,1975-03-07,SOC,14,True,13,False
18231D,PA610850,Corinne,Narassiguin,1975-03-07,SOC,16,False,1,False
17965H,PA606375,Émilienne,Poumirol,1950-07-25,SOC,14,True,129,True
17965H,PA606375,Émilienne,Poumirol,1950-07-25,SOC,16,False,1,False
17023S,PA267673,Philippe,Folliot,1963-07-14,UC,12,True,0,False
17023S,PA267673,Philippe,Folliot,1963-07-14,UC,13,True,0,False
17023S,PA267673,Philippe,Folliot,1963-07-14,UC,14,True,123,True
17023S,PA267673,Philippe,Folliot,1963-07-14,UC,15,True,118,True
18207D,PA607761,Audrey,Linkenheld,1973-10-11,SOC,14,True,208,True
18207D,PA607761,Audrey,Linkenheld,1973-10-11,SOC,16,False,1,False
14257W,PA643211,Franck,Montaugé,1961-09-14,SOC,14,True,29,True
14257W,PA643211,Franck,Montaugé,1961-09-14,SOC,16,False,1,False
11115U,PA267743,Édouard,Courtial,1973-06-28,UC,12,True,0,False
11115U,PA267743,Édouard,Courtial,1973-06-28,UC,13,True,0,False
11115U,PA267743,Édouard,Courtial,1973-06-28,UC,14,True,141,True
17737W,PA330684,Valérie,Boyer,1962-06-11,UMP,13,True,0,False
17737W,PA330684,Valérie,Boyer,1962-06-11,UMP,14,True,165,True
17737W,PA330684,Valérie,Boyer,1962-06-11,UMP,15,True,242,True
19057M,PA721166,Samantha,Cazebonne,1971-08-10,LREM,15,True,452,True
19057M,PA721166,Samantha,Cazebonne,1971-08-10,LREM,16,False,1,False
11090Q,PA345916,Sophie,Primas,1962-06-07,UMP,13,True,0,False
14211G,PA267907,Jean-Pierre,Grand,1950-11-18,RTLI,12,True,0,False
14211G,PA267907,Jean-Pierre,Grand,1950-11-18,RTLI,13,True,0,False
14211G,PA267907,Jean-Pierre,Grand,1950-11-18,RTLI,16,False,1,False
19111A,PA721742,Isabelle,Florennes,1967-08-02,UC,15,True,1373,True
19111A,PA721742,Isabelle,Florennes,1967-08-02,UC,16,False,1,False
18193Q,PA605888,Annie,Le Houerou,1960-03-31,SOC,14,True,278,True
18193Q,PA605888,Annie,Le Houerou,1960-03-31,SOC,16,False,1,False
17779H,PA342564,Monique,Lubin,1963-07-16,SOC,14,True,0,False
17779H,PA342564,Monique,Lubin,1963-07-16,SOC,16,False,1,False
12016W,PA268048,Victorin,Lurel,1951-08-20,SOC,12,True,0,False
12016W,PA268048,Victorin,Lurel,1951-08-20,SOC,13,True,0,False
12016W,PA268048,Victorin,Lurel,1951-08-20,SOC,14,True,76,True
12016W,PA268048,Victorin,Lurel,1951-08-20,SOC,16,False,1,False
14123H,PA331381,Jacques,Grosperrin,1955-10-17,UMP,13,True,0,False
14123H,PA331381,Jacques,Grosperrin,1955-10-17,UMP,16,False,1,False
17229F,PA267241,Stéphane,Demilly,1963-06-26,UC,12,True,0,False
17229F,PA267241,Stéphane,Demilly,1963-06-26,UC,13,True,0,False
17229F,PA267241,Stéphane,Demilly,1963-06-26,UC,14,True,103,True
17229F,PA267241,Stéphane,Demilly,1963-06-26,UC,15,True,95,True
17229F,PA267241,Stéphane,Demilly,1963-06-26,UC,16,False,1,False
14111D,PA267512,Alain,Marc,1957-01-29,RTLI,13,True,0,False
14111D,PA267512,Alain,Marc,1957-01-29,RTLI,14,True,65,True
14111D,PA267512,Alain,Marc,1957-01-29,RTLI,16,False,1,False
04008A,PA1001,Marc-Philippe,Daubresse,1953-08-01,UMP,12,True,0,False
04008A,PA1001,Marc-Philippe,Daubresse,1953-08-01,UMP,13,True,0,False
04008A,PA1001,Marc-Philippe,Daubresse,1953-08-01,UMP,14,True,120,True
04008A,PA1001,Marc-Philippe,Daubresse,1953-08-01,UMP,16,False,1,False
14026U,PA267081,Pascale,Gruny,1960-02-18,UMP,12,True,0,False
14026U,PA267081,Pascale,Gruny,1960-02-18,UMP,13,True,0,False
14026U,PA267081,Pascale,Gruny,1960-02-18,UMP,16,False,1,False
